,Utility,Options ToyBox,Number of optionsToyBox,Options BusyBox,Number of optionsBusyBox,Options GNU,Number of optionsGNU
0,base32,"['-d', '-i', '-w']",3,"['-d', '-w']",2,"['-d', '-i', '-w', '--help', '--version']",5
1,base64,"['-d', '-i', '-w']",3,"['-d', '-w']",2,"['-d', '-i', '-w', '--help', '--version']",5
2,basename,"['-a', '-s']",2,"['-a', '-s']",2,"['-a', '-s', '-z', '--help', '--version']",5
3,cat,"['-e', '-t', '-u', '-v']",4,"['-n', '-b', '-v', '-t', '-e', '-A']",6,"['-A', '-b', '-e', '-E', '-n', '-s', '-t', '-T', '-u', '-v', '--help', '--version']",12
4,chgrp,"['-f', '-h', '-R', '-H', '-L', '-P', '-v']",7,"['-h', '-L', '-H', '-P', '-R', '-c', '-v', '-f']",8,"['-c', '-f', '-v', '--dereference', '-h', '--no', '--preserve', '--reference', '-R', '-H', '-L', '-P', '--help', '--version']",14
5,chmod,[],0,"['-R', '-c', '-v', '-f']",4,"['-c', '-f', '-v', '--no', '--preserve', '--reference', '-R', '--help', '--version']",9
6,chown,"['-f', '-h', '-R', '-H', '-L', '-P', '-v']",7,"['-h', '-L', '-H', '-P', '-R', '-c', '-v', '-f']",8,"['-c', '-f', '-v', '--dereference', '-h', '--from', '--no', '--preserve', '--reference', '-R', '-H', '-L', '-P', '--help', '--version']",15
7,chroot,[],0,[],0,"['--groups', '--userspec', '--skip', '--help', '--version']",5
8,cksum,"['-H', '-L', '-P', '-I', '-N']",5,[],0,"['-a', '-b', '-c', '-l', '--raw', '--tag', '--untagged', '-z', '--ignore', '--quiet', '--status', '--strict', '-w', '--debug', '--help', '--version']",16
9,comm,"['-1', '-2', '-3']",3,"['-1', '-2', '-3']",3,"['-1', '-2', '-3', '--check', '--nocheck', '--output', '--total', '-z', '--help', '--version']",10
10,cp,"['-a', '-D', '-d', '-F', '-f', '-H', '-i', '-L', '-l', '-n', '-u', '-P', '-p', '-R', '-r', '-s', '-t', '-T', '-v']",19,"['-a', '-R', '-d', '-L', '-H', '-p', '-f', '-i', '-n', '-l', '-T', '-t', '-u']",13,"['-a', '--attributes', '--backup', '-b', '--copy', '-d', '--debug', '-f', '-i', '-H', '-l', '-L', '-n', '-u', '-P', '-p', '--preserve', '--no', '--parents', '-R', '--reflink', '--remove', '--sparse', '--strip', '-s', '-S', '-t', '-T', '--update', '-u', '-v', '-x', '-Z', '--context', '--help', '--version']",36
11,cut,"['-b', '-c', '-C', '-d', '-D', '-f', '-F', '-O', '-s']",9,"['-b', '-c', '-d', '-O', '-D', '-f', '-F', '-s', '-n']",9,"['-b', '-c', '-d', '-f', '-n', '--complement', '-s', '--output', '-z', '--help', '--version', '-M']",12
12,date,"['-d', '-D', '-I', '-r', '-s', '-u']",6,"['-u', '-d', '-D', '-r', '-R', '-I']",6,"['-d', '--debug', '-f', '-I', '--resolution', '-R', '--rfc', '-r', '-s', '-u', '--help', '--version']",12
13,df,"['-a', '-P', '-k', '-h', '-H', '-i', '-t']",7,"['-P', '-k', '-m', '-h', '-T', '-t', '-a', '-i', '-B']",9,"['-a', '-B', '-h', '-H', '-i', '-k', '-l', '--no', '--output', '-P', '--sync', '--total', '-t', '-T', '-x', '-v', '--help', '--version']",18
14,dirname,[],0,[],0,"['-z', '--help', '--version']",3
