Nr;Program;GNU;ToyBox;BusyBox
1;base32;5;3;2
2;base64;5;3;2
3;basename;5;2;2
4;cat;12;4;6
5;chgrp;14;7;8
6;chmod;9;0;4
7;chown;15;7;8
8;chroot;5;0;0
9;cksum;16;5;0
10;comm;10;3;3
11;cp;36;19;13
12;cut;12;9;9
13;date;12;6;6
14;df;18;7;9
15;dirname;3;0;0
16;du;30;13;12
17;echo;5;3;1
18;env;12;3;2
19;expand;5;1;2
20;factor;3;2;0
21;false;2;0;0
22;groups;2;0;0
23;head;7;4;5
24;id;10;5;5
25;kill;5;2;1
26;link;2;0;0
27;ln;16;7;7
28;logname;2;0;0
29;ls;60;16;28
30;md5sum;12;3;3
31;mkdir;7;3;2
32;mkfifo;5;0;1
33;mknod;5;1;1
34;mktemp;8;5;5
35;mv;17;6;5
36;nice;4;0;1
37;nl;13;7;5
38;nohup;2;0;0
39;nproc;4;1;2
40;od;21;6;0
41;paste;5;2;2
42;printenv;3;1;0
43;printf;2;0;0
44;pwd;4;2;0
45;readlink;10;6;3
46;realpath;11;9;0
47;rm;12;4;3
48;rmdir;5;2;2
49;seq;5;3;2
50;sha1sum;12;3;3
51;sha256sum;12;3;3
52;sha512sum;12;3;3
53;shred;11;7;5
54;sleep;2;0;0
55;sort;31;19;17
56;split;17;4;3
57;stat;10;4;4
58;sync;4;0;2
59;tac;5;0;0
60;tail;13;5;8
61;tee;6;2;2
62;test;0;0;0
63;timeout;7;6;0
64;touch;11;7;7
65;true;2;0;0
66;truncate;6;2;2
67;tty;3;1;1
68;uname;11;7;9
69;uniq;13;8;8
70;unlink;2;0;0
71;uptime;2;2;0
72;wc;9;4;5
73;who;18;0;2
74;whoami;2;0;0
75;yes;2;0;0
