Program,Utilities,01_1,01_10,01_2,01_3,01_4,01_5,01_6,01_7,01_8,01_9,02_1,02_10,02_2,02_3,02_4,02_5,02_6,02_7,02_8,02_9
link,BusyBox,287353,283508,326171,274596,314025,338866,340698,304808,296386,299865,290099.0,277343.0,315489.0,284240.0,313842.0,339659.0,329162.0,313292.0,297911.0,299560.0
link,ToyBox,351988,320006,274230,306274,312683,326415,338805,296875,309143,313720,293884.0,305114.0,274719.0,303099.0,311461.0,341491.0,340087.0,319335.0,294433.0,313354.0
link,GNU,296752,303405,296141,297912,340515,339904,345214,339293,313476,311278,293701.0,304687.0,296569.0,297973.0,327025.0,338988.0,345702.0,340942.0,309996.0,306213.0
id,BusyBox,299682,277526,301818,286071,312621,327636,341125,314696,296997,298828,291687.0,325622.0,318298.0,278136.0,313231.0,341369.0,341186.0,303405.0,309814.0,284118.0
id,ToyBox,322875,315918,288207,307372,311828,338744,330627,308838,308898,311584,307922.0,306152.0,274474.0,307128.0,315673.0,340270.0,336852.0,308715.0,308960.0,313048.0
id,GNU,309814,319518,307006,313476,341308,340636,363036,342590,315795,290405,304992.0,318298.0,309691.0,313903.0,370360.0,340393.0,359618.0,358154.0,329223.0,310118.0
ln,BusyBox,289123,277160,303955,284240,300109,326720,340454,312316,308715,297301,291992.0,288146.0,315245.0,274169.0,315734.0,326598.0,338927.0,313781.0,298705.0,299011.0
ln,ToyBox,331359,318968,275817,304504,301879,340148,339660,296080,304260,314696,349486.0,342041.0,326293.0,347106.0,345946.0,381835.0,375365.0,350768.0,344115.0,423766.0
ln,GNU,352843,313354,292602,297301,338317,340514,343688,336303,329894,306090,303222.0,301147.0,305542.0,299559.0,326110.0,339232.0,354308.0,338073.0,327087.0,304321.0
false,BusyBox,319091,292113,315246,286132,313842,311706,337829,320922,313170,301451,287353.0,283935.0,320739.0,276610.0,313720.0,309996.0,323181.0,298034.0,279662.0,301635.0
