Program,Utilities,01_1,01_10,01_2,01_3,01_4,01_5,01_6,01_7,01_8,01_9,02_1,02_10,02_2,02_3,02_4,02_5,02_6,02_7,02_8,02_9
mv,GNU,274535,325255,274291,296569,310790,302001,297423,274108,327025,274047,273315.0,343139.0,272643.0,300475.0,299621.0,298522.0,312438.0,274230.0,327209.0,261718.0
mv,ToyBox,275329,285705,301024,273986,274230,297789,273619,293823,260314,296447,274047.0,297424.0,297850.0,290344.0,274169.0,299011.0,263000.0,298461.0,259460.0,298400.0
mv,BusyBox,273253,288879,281737,288634,261413,297790,323302,286377,288024,294494,268127.0,336242.0,294738.0,290160.0,260436.0,298156.0,324523.0,299194.0,296203.0,297668.0
wc,GNU,421172567,463585666,423128251,461699258,429587279,428848389,465063690,417529082,462618566,416269259,418916408.0,464604523.0,419562708.0,461186991.0,418339505.0,459770308.0,459864180.0,415268652.0,460106367.0,421328633.0
wc,ToyBox,107555999,119446472,118615053,108092131,107751860,119468261,108161832,119238343,107783538,118307620,163732491.0,181810509.0,181300378.0,164747503.0,164275336.0,183694781.0,164798650.0,183234883.0,164952764.0,182321921.0
wc,BusyBox,79013408,87447897,87034689,79733438,78986065,87452474,88201373,86285118,86971762,87213766,79144328.0,87186301.0,87205038.0,79801797.0,79091900.0,86330834.0,87871967.0,86377159.0,87985858.0,87424276.0
md5sum,GNU,280944,325988,299011,307738,339110,308654,316711,312560,317809,299926,217430412.0,249787752.0,218536122.0,230961078.0,237931520.0,225873994.0,240687921.0,219356067.0,238572387.0,209080153.0
md5sum,ToyBox,309813,390685,328369,309265,322448,318175,322875,346984,323058,349487,486602697.0,531410444.0,523167056.0,489804288.0,486878332.0,522068061.0,486900731.0,533303200.0,488276887.0,534061621.0
md5sum,BusyBox,301025,325317,305602,330809,309264,306518,329528,333373,323974,314086,266982960.0,289713003.0,279503801.0,291344958.0,266373708.0,279666643.0,300144373.0,291464036.0,294689004.0,288754632.0
date,GNU,289367,309325,280883,330566,309875,282408,324889,292785,327880,282287,302612.0,308776.0,271484.0,329528.0,307067.0,270263.0,325622.0,303161.0,326415.0,282531.0
date,ToyBox,301513,327697,299926,293822,301635,283874,303588,326964,303588,329894,300231.0,313414.0,300903.0,303039.0,288635.0,295348.0,303405.0,326415.0,298400.0,326904.0
date,BusyBox,273620,325988,280517,324523,290710,299621,328002,318969,324951,329833,305114.0,328674.0,293456.0,324401.0,289489.0,291259.0,319335.0,322020.0,329040.0,329528.0
chmod,GNU,280150,284668,271117,284484,272277,274109,295287,266601,286804,264282,2678216.0,2739861.0,2502252.0,2764031.0,2522576.0,2528741.0,2771111.0,2523431.0,2760918.0,2569451.0
chmod,ToyBox,275146,304382,294799,269164,262573,301513,269042,286804,265014,295348,2563958.0,2802239.0,2737237.0,2524286.0,2532037.0,2794610.0,2525872.0,2787895.0,2548700.0,2774346.0
chmod,BusyBox,263427,299255,263183,288634,264343,299682,284240,263183,287231,263854,3316886.0,3644400.0,3363029.0,3678640.0,3347220.0,3645437.0,3589834.0,3325004.0,3630301.0,3316214.0
false,GNU,302673,330626,296447,311522,312377,289245,356749,292724,326354,287963,301818.0,330138.0,289001.0,342712.0,326477.0,301269.0,316162.0,288757.0,327392.0,287902.0
false,ToyBox,286254,316161,296142,299133,288390,306823,301391,391845,299193,328429,376585.0,328430.0,298705.0,287963.0,295410.0,294250.0,300415.0,326294.0,299011.0,323974.0
false,BusyBox,298339,328002,283202,321654,286254,300781,314208,323119,296752,323729,286559.0,309997.0,296081.0,322875.0,278319.0,318969.0,306090.0,320007.0,293822.0,304808.0
ls,GNU,531126,598693,548766,596189,572020,538878,628600,542968,599974,537292,1420773.0,1539730.0,1390622.0,1548824.0,1520260.0,1396176.0,1526302.0,1388790.0,1525814.0,1427975.0
ls,ToyBox,2364557,2592034,2412286,2388421,2368585,2470514,2491571,2577081,2372003,2572869,4244679.0,4659595.0,4302296.0,4240101.0,4268849.0,4238454.0,4229543.0,4614063.0,4250783.0,4655872.0
ls,BusyBox,657225,724974,644042,725584,654600,659788,721739,702635,711058,712584,1064328.0,1128720.0,1077207.0,1125852.0,1061093.0,1053098.0,1150692.0,1138181.0,1228818.0,1133664.0
cp,GNU,96942501,106324190,96144346,107412567,104989111,96414120,106456453,96794369,107663360,96626400,,,,,,,,,,
cp,ToyBox,96384091,106083652,224273535,97808221,97316707,224033972,97855523,107464813,97103633,106106906,,,,,,,,,,
cp,BusyBox,96548703,106710664,186360973,106043735,98013604,189314701,107230622,104965551,106644380,105941135,,,,,,,,,,
factor,GNU,280089,330260,302001,331481,334838,301818,302245,301512,304870,304138,308532.0,329833.0,300109.0,308837.0,300841.0,290465.0,325988.0,280455.0,327086.0,297851.0
factor,ToyBox,300109,326110,297607,299072,298156,296935,299804,324035,289245,330322,297484.0,328308.0,299498.0,299987.0,299865.0,305603.0,298339.0,344055.0,301208.0,337829.0
factor,BusyBox,292052,328002,293761,320434,306640,298828,313964,326598,324645,325499,302062.0,327942.0,295043.0,321166.0,290465.0,288635.0,327087.0,323912.0,336730.0,326903.0
true,GNU,274658,311889,260131,300841,303833,264403,285827,259887,300109,263854,262877.0,327880.0,260253.0,301208.0,295226.0,264648.0,284545.0,259948.0,301513.0,265197.0
true,ToyBox,269592,285888,285278,273742,262999,297423,262389,298766,276488,287536,259948.0,288329.0,298461.0,274169.0,261047.0,297789.0,260498.0,301818.0,264038.0,299865.0
true,BusyBox,262939,285766,286376,304504,274536,299682,302123,286193,288696,285278,275207.0,298217.0,299438.0,263671.0,262512.0,288268.0,299621.0,303954.0,299072.0,298278.0
logname,GNU,287536,327392,287841,328063,324889,286499,310668,301635,324890,299621,308105.0,326232.0,301452.0,338988.0,322997.0,297484.0,324706.0,287719.0,324950.0,297790.0
logname,ToyBox,276062,301879,302001,277465,265136,300292,277953,327331,277221,302916,296569.0,333862.0,300719.0,282592.0,295409.0,295226.0,296264.0,320617.0,277831.0,334106.0
logname,BusyBox,286010,321288,296691,322814,295897,298401,324523,321776,323058,325988,297972.0,322692.0,294433.0,322021.0,284545.0,299560.0,313598.0,321105.0,322570.0,324157.0
base64,GNU,312683,308959,296936,322997,286254,283813,314330,284362,320190,286193,361388.0,384460.0,337707.0,370421.0,342284.0,331237.0,376037.0,343078.0,371215.0,343749.0
base64,ToyBox,855527,943174,928648,848203,853513,907591,931150,913450,935300,929563,825132.0,890257.0,979917.0,829405.0,854979.0,902951.0,896177.0,890073.0,892332.0,899901.0
base64,BusyBox,319030,361449,329895,356688,331054,355407,353393,339416,360351,336730,507750.0,512022.0,469115.0,514342.0,470030.0,503477.0,521849.0,457885.0,492431.0,469176.0
cksum,GNU,21440863,22528019,20580758,22641849,20267588,20312753,22321109,20374887,22483219,20300668,287231.0,302062.0,274414.0,299743.0,273620.0,273193.0,297119.0,273742.0,298278.0,263610.0
cksum,ToyBox,378879096,418357877,420478965,375034196,374484270,419087611,377487620,419740442,376620862,420152550,311034.0,344908.0,339721.0,307006.0,312072.0,341430.0,317565.0,362426.0,304809.0,342162.0
cksum,BusyBox,447791090,498052497,448926158,496465893,448768688,495130019,496067944,448069898,495797498,470163530,323608.0,348693.0,315429.0,350097.0,315978.0,341369.0,350524.0,316772.0,344604.0,337768.0
ln,GNU,289062,327026,287535,330749,322753,297973,312194,287536,328002,299560,300109.0,325194.0,290343.0,331237.0,322692.0,297484.0,324645.0,289794.0,322997.0,289489.0
ln,ToyBox,285216,325194,300597,285705,296142,284545,297973,327453,285705,323546,327209.0,346556.0,351440.0,325683.0,343505.0,324035.0,339233.0,351317.0,338866.0,380797.0
ln,BusyBox,286315,323363,294677,322753,284911,286621,313598,321471,322326,312621,286071.0,326233.0,295531.0,323242.0,284362.0,296996.0,314819.0,323669.0,311644.0,323852.0
cat,GNU,2005366,2086664,1905452,2077021,1907710,1895686,2082209,1899959,2106379,1899226,2038264.0,2095881.0,1906489.0,2084345.0,1909480.0,1905146.0,2077631.0,1941828.0,2218256.0,1909602.0
cat,ToyBox,1446465169,1531375657,1533451091,1384949091,1399096332,1534163431,1527544307,1532957197,1534535988,1534445962,1442376435.0,1550313963.0,1551395076.0,1393275852.0,1386956166.0,1548317692.0,1461853618.0,1550167418.0,1406954955.0,1548481997.0
cat,BusyBox,34025975,37895167,33976414,37859889,34804354,37495937,37762233,34613192,38019739,34130344,34151341.0,37668543.0,34112706.0,38172692.0,34186070.0,38005395.0,37324246.0,34582065.0,38364709.0,34681979.0
mkdir,GNU,272338,342833,279601,297850,299987,278747,302307,274841,305725,274353,272399.0,323363.0,273986.0,298156.0,299133.0,300781.0,300110.0,283996.0,339660.0,274780.0
mkdir,ToyBox,274108,299194,305602,274230,262389,303466,274535,297912,273620,301940,262390.0,295837.0,297484.0,272949.0,274780.0,296692.0,275390.0,294555.0,275023.0,306334.0
mkdir,BusyBox,289794,287353,294311,298461,312743,286987,324096,287536,286864,285033,287597.0,289306.0,293090.0,290710.0,271301.0,298584.0,324950.0,298888.0,295654.0,297790.0
comm,GNU,54658795,59428619,54298262,64416828,58719821,54095016,64696306,54281172,59214265,54503523,45252264.0,49226315.0,44837654.0,48689268.0,48975766.0,44908333.0,49226315.0,44981086.0,49467158.0,44986762.0
comm,ToyBox,555425397,618541751,616260019,555603008,555075544,614040420,555322064,616636544,553717638,618234075,52260059.0,57553869.0,62726890.0,52207020.0,52060108.0,63303854.0,52288684.0,58070591.0,52150807.0,57596105.0
comm,BusyBox,114598218,125449203,113650404,124708727,113603652,125876143,126923259,123812000,124845323,124770799,105144995.0,114843151.0,113823012.0,115403330.0,104175209.0,124367846.0,113519302.0,114584485.0,115362864.0,114294507.0
link,GNU,289428,326904,297057,316345,326415,299560,327697,342284,326659,301757,289977.0,328002.0,288513.0,316588.0,308044.0,299621.0,326537.0,287597.0,325622.0,301147.0
link,ToyBox,283874,326476,286865,294128,300353,297119,296752,323913,284790,316650,285094.0,324462.0,285217.0,285582.0,299865.0,295592.0,297363.0,312133.0,296020.0,312133.0
link,BusyBox,297119,312744,299560,322692,286254,300231,316283,307861,310241,323546,287780.0,310058.0,294249.0,320678.0,284789.0,329894.0,313048.0,307800.0,324828.0,311034.0
sort,GNU,90508374,100040393,87561787,94696779,94811342,89588638,94127688,86975303,96652645,86940146,87858540.0,101220811.0,86858054.0,95513244.0,94158694.0,87403036.0,94115298.0,87326375.0,94691103.0,87434102.0
sort,ToyBox,431036800,478691401,479255365,432558340,431111995,476643067,431579339,473509285,432615897,477596678,422876787.0,470677445.0,466463955.0,423259964.0,422823503.0,468799825.0,423708388.0,466898890.0,424571362.0,469224263.0
sort,BusyBox,296324559,325706686,322290313,323794825,294351969,324500329,326943133,322736357,323861720,324169764,287631588.0,317567851.0,314350392.0,294132059.0,286738890.0,315440660.0,315220263.0,316716047.0,316662947.0,315291917.0
head,GNU,292541,329955,285644,331237,347594,302795,326110,304870,327575,288390,291076.0,329772.0,299315.0,324157.0,323547.0,288024.0,323425.0,285521.0,338561.0,289611.0
head,ToyBox,289123,329528,299132,300109,298400,295226,298217,311523,286499,324584,299742.0,324523.0,298644.0,300170.0,309020.0,296691.0,289611.0,312560.0,285888.0,327941.0
head,BusyBox,301147,329101,284057,321105,284973,298278,313353,402770,292175,326659,290283.0,328796.0,283813.0,322570.0,297302.0,298644.0,315307.0,306639.0,321594.0,322021.0
echo,GNU,285949,332457,300109,316100,313842,291930,329406,300536,328612,298767,287536.0,331847.0,300048.0,328247.0,313536.0,289306.0,315185.0,300414.0,327941.0,287719.0
echo,ToyBox,291259,313781,358215,285400,284667,284362,300231,323791,288634,339294,299804.0,315490.0,330871.0,289672.0,300170.0,296997.0,288207.0,301452.0,284850.0,304870.0
echo,BusyBox,289733,315185,291992,325194,286682,307922,331176,325439,315551,312621,291625.0,317138.0,281921.0,323790.0,286865.0,341247.0,319580.0,326171.0,327819.0,312072.0
id,GNU,303222,334960,288208,326294,321777,299377,325927,301390,325804,298522,302612.0,329650.0,299804.0,329040.0,334961.0,300170.0,326964.0,299560.0,328185.0,288512.0
id,ToyBox,296203,324157,298584,315917,298522,296997,298645,315001,295104,329834,296447.0,342529.0,300598.0,300170.0,299682.0,295958.0,297607.0,325683.0,284057.0,326354.0
id,BusyBox,289123,326293,292236,324462,284179,285765,315124,307189,323608,324951,280150.0,326537.0,282959.0,301940.0,295653.0,286377.0,331603.0,301452.0,325682.0,323730.0
du,GNU,274841,301452,275817,304320,297973,309570,298706,276549,301086,275818,666563.0,762083.0,679442.0,743468.0,735716.0,769591.0,741087.0,676878.0,739317.0,681395.0
du,ToyBox,282409,302611,287964,274779,280212,270263,277709,312743,276611,302794,673399.0,765806.0,684080.0,702696.0,687255.0,674803.0,696532.0,760618.0,692015.0,770689.0
du,BusyBox,280273,305236,282409,315185,280272,279052,307372,356932,301268,303161,644102.0,715208.0,637816.0,704221.0,637632.0,649473.0,710203.0,704771.0,695494.0,731748.0
expand,GNU,6753278,7332867,6654402,7314251,7134869,6667280,7259869,6715009,7273907,6670942,6706587.0,7307843.0,6717207.0,7381573.0,7186749.0,6694685.0,7221783.0,6703718.0,7246137.0,6692549.0
expand,ToyBox,476317,522215,470824,429076,477782,484312,482603,490478,475279,518981,482238.0,509703.0,480956.0,480894.0,479980.0,500304.0,477416.0,530150.0,470335.0,515502.0
expand,BusyBox,13955164,15014183,13735743,15008141,13927516,13924403,15297203,15063621,15102989,15085532,14097315.0,15129905.0,13720729.0,15122215.0,13893397.0,13868861.0,15351950.0,14944847.0,15139488.0,15068931.0
cut,GNU,2114496,2485711,2248163,2338373,2423883,2268000,2292841,2289545,2334955,2268610,1860591.0,2015009.0,1846613.0,2019343.0,1984309.0,1864314.0,1995661.0,1866938.0,2073725.0,1851740.0
cut,ToyBox,11198580,12228789,11714570,11159213,11111971,11246492,11187532,12199859,11137850,12211883,10485447.0,11565034.0,10461948.0,10414707.0,10427708.0,10354649.0,10548435.0,11283724.0,10469212.0,11437715.0
cut,BusyBox,5854477,6150802,5659959,6235885,5625474,5842149,6203842,6225753,6262313,6156723,3490958.0,3994009.0,3512321.0,3779471.0,3616323.0,3651052.0,3984975.0,3765982.0,3965138.0,3911306.0
dirname,GNU,304321,318480,290160,332152,305420,288695,326293,278686,314269,299133,302794.0,332030.0,299072.0,312011.0,316283.0,301635.0,325927.0,292297.0,325744.0,300231.0
dirname,ToyBox,290771,323791,299377,299010,303710,295409,289489,321228,301391,328978,290527.0,327453.0,301513.0,301635.0,291381.0,295044.0,288208.0,323668.0,300720.0,325866.0
dirname,BusyBox,292113,327880,299987,327514,290344,300170,329467,325439,327941,317626,306762.0,331359.0,297546.0,327880.0,290954.0,288695.0,314697.0,312072.0,314513.0,330688.0
touch,GNU,275390,326903,274719,301879,295410,273681,299438,264099,299377,275267,274535.0,325499.0,261291.0,301086.0,298400.0,262817.0,287596.0,261901.0,300964.0,276367.0
touch,ToyBox,272827,299804,295349,263733,262451,283019,273864,301391,273010,298400,271484.0,299498.0,284728.0,317688.0,263060.0,297485.0,273681.0,300842.0,263671.0,299255.0
touch,BusyBox,268798,298523,297058,266113,278808,287658,287170,304015,286377,286254,264098.0,284728.0,286804.0,266784.0,273986.0,299377.0,289000.0,297667.0,297119.0,299438.0
basename,GNU,279785,298034,259093,296569,274353,273986,296264,264831,301391,274291,271422.0,297362.0,269958.0,295776.0,263061.0,288025.0,296447.0,275329.0,298644.0,264648.0
basename,ToyBox,262817,299438,297241,264587,280212,298889,289489,287719,286681,292480,274535.0,298095.0,298644.0,276976.0,274536.0,297851.0,297912.0,285095.0,297851.0,303283.0
basename,BusyBox,263977,287963,263611,288146,265990,282592,295959,263915,288085,272705,274840.0,287169.0,264587.0,300719.0,263610.0,295471.0,296569.0,263793.0,298583.0,260192.0
