Nr.,Program,Size (binary) GNU,Size (binary) ToyBox,Size (binary) BusyBox
1,base32,"195,992","18,664","18,760"
2,base64,"195,272","18,664","18,760"
3,basename,"166,328","18,632","14,600"
4,cat,"189,048","18,664","18,776"
5,chgrp,"310,320","22,792","18,816"
6,chmod,"290,464","22,792","18,768"
7,chown,"318,368","22,792","18,816"
8,chroot,"207,104","18,632","18,760"
9,cksum,"626,360","18,664","18,728"
10,comm,"194,800","18,632","18,728"
11,cp,"680,256","31,208","23,008"
12,cut,"204,480","22,824","18,792"
13,date,"452,320","26,952","18,840"
14,df,"440,016","26,952","18,760"
15,dirname,"164,648","18,632","14,528"
16,du,"468,824","22,792","18,752"
17,echo,"163,824","18,632","14,592"
18,env,"207,968","18,664","18,736"
19,expand,"182,448","18,664","18,752"
20,factor,"353,648","18,632","14,600"
21,false,"154,552","14,440","14,504"
22,groups,"178,416","14,568","18,784"
23,head,"216,208","18,632","14,656"
24,id,"206,792","18,696","18,784"
25,kill,"177,848","18,696","14,656"
26,link,"163,912","18,600","14,608"
27,ln,"323,440","22,824","18,768"
28,logname,"163,432","18,696","14,592"
29,ls,"636,696","31,176","31,240"
30,md5sum,"217,832","23,432","18,768"
31,mkdir,"420,592","18,632","18,736"
32,mkfifo,"319,640","18,600","18,712"
33,mknod,"329,928","18,632","18,752"
34,mktemp,"183,328","18,696","18,744"
35,mv,"687,760","31,240","27,112"
36,nice,"176,496","18,632","14,616"
37,nl,"197,616","18,696","18,744"
38,nohup,"184,752","18,664","14,632"
39,nproc,"184,392","18,632","14,632"
40,od,"338,712","22,760","22,920"
41,paste,"179,320","18,664","18,752"
42,printenv,"161,336","18,600","14,592"
43,printf,"275,792","18,632","18,744"
44,pwd,"177,296","18,632","18,728"
45,readlink,"222,816","22,760","18,744"
46,realpath,"228,360","22,760","14,624"
47,rm,"323,384","26,920","18,792"
48,rmdir,"242,328","18,632","18,720"
49,seq,"263,872","18,632","18,720"
50,sha1sum,"232,288","23,432","18,768"
51,sha256sum,"253,976","23,432","18,768"
52,sha512sum,"287,392","23,432","18,768"
53,shred,"291,584","18,696","18,784"
54,sleep,"177,472","18,600","14,624"
55,sort,"518,424","22,792","18,824"
56,split,"269,392","18,664","18,744"
57,stat,"411,288","31,048","27,056"
58,sync,"167,824","14,440","18,744"
59,tac,"195,664","14,504","18,712"
60,tail,"336,720","22,792","18,776"
61,tee,"197,192","18,664","18,744"
62,test,"258,592","18,664","18,800"
63,timeout,"192,320","26,984","18,872"
64,touch,"405,160","18,696","18,816"
65,true,"154,544","14,472","14,504"
66,truncate,"184,960","18,664","18,728"
67,tty,"160,904","18,632","18,720"
68,uname,"164,072","18,632","18,720"
69,uniq,"216,016","18,664","18,760"
70,unlink,"163,840","18,600","14,608"
71,uptime,"227,336","18,664","18,728"
72,wc,"258,592","18,664","18,736"
73,who,"268,984","18,664","18,760"
74,whoami,"164,064","18,696","14,632"
75,yes,"167,432","14,440","14,592"
