Program;Utilities;PSYS;DURATION
date;bloated;287914.25;24835.85
date;chisel;284160.7;24408.25
date;cov;284352.85;24574.65
date;debop;284331.55;24584.3
grep;bloated;317086.1;27472.45
grep;chisel;457307.85;39309.35
grep;cov;315260.85;27440.9
grep;debop;315404.45;27431.25
gzip;bloated;334755.55;28643.95
gzip;chisel;549107.4;47497.1
gzip;cov;331841.2;28615.25
gzip;debop;331715.95;28526.75
mkdir;bloated;289446.3;25001.1
mkdir;chisel;287996.7;24655.8
mkdir;cov;287615.3;24932.95
mkdir;debop;287520.6;24824.65
printokens2;bloated;282000.05;24376.05
printokens2;chisel;281304.4;24366.35
printokens2;cov;285134.15;24554.45
printokens2;debop;281771.2;24340.65
sed;bloated;285567.55;24678.25
sed;chisel;288768.75;24840.45
sed;cov;290404.5;24856.65
sed;debop;287371.1;24831.3
