Program;Utilities;PSYS
date;bloated;287914.25
date;chisel;284160.7
date;cov;284352.85
date;debop;284331.55
grep;bloated;317086.1
grep;chisel;457307.85
grep;cov;315260.85
grep;debop;315404.45
gzip;bloated;334755.55
gzip;chisel;549107.4
gzip;cov;331841.2
gzip;debop;331715.95
mkdir;bloated;289446.3
mkdir;chisel;287996.7
mkdir;cov;287615.3
mkdir;debop;287520.6
printokens2;bloated;282000.05
printokens2;chisel;281304.4
printokens2;cov;285134.15
printokens2;debop;281771.2
sed;bloated;285567.55
sed;chisel;288768.75
sed;cov;290404.5
sed;debop;287371.1
