Program;Utilities;PSYS_avg;PSYS_std
date;bloated;287914.25;14287.28
date;chisel;284160.7;9876.11
date;cov;284352.85;9444.81
date;debop;284331.55;9677.53
grep;bloated;317086.1;19601.77
grep;chisel;457307.85;20620.21
grep;cov;315260.85;17533.55
grep;debop;315404.45;18249.06
gzip;bloated;334755.55;12876.3
gzip;chisel;549107.4;22471.2
gzip;cov;331841.2;16107.98
gzip;debop;331715.95;8457.84
mkdir;bloated;289446.3;15787.29
mkdir;chisel;287996.7;13904.3
mkdir;cov;287615.3;11606.01
mkdir;debop;287520.6;11476.92
printokens2;bloated;282000.05;8763.53
printokens2;chisel;281304.4;12498.42
printokens2;cov;285134.15;21416.34
printokens2;debop;281771.2;13469.48
sed;bloated;285567.55;9693.99
sed;chisel;288768.75;15200.94
sed;cov;290404.5;21546.36
sed;debop;287371.1;13604.23
