iteration;CORE;CPU;DRAM;DURATION;PSYS;UNCORE;EXIT_CODE;Program;TestNr;Utilities;Repetition
0;60547;82031;14587;24513;310851;0;0;date;2;chisel;cat_repeat1.csv
0;61767;84900;14710;24607;305908;0;0;mkdir;1;debop;cat_repeat1.csv
0;62377;86548;15503;25880;319640;0;0;sed;2;chisel;cat_repeat1.csv
0;61584;83252;14953;28541;360289;0;0;printokens2;1;cov;cat_repeat1.csv
0;115234;161437;30578;48260;606016;549;0;gzip;1;chisel;cat_repeat1.csv
0;62011;86487;14892;25355;322021;0;4;sed;1;debop;cat_repeat1.csv
0;97107;132507;23559;40325;494017;0;0;grep;1;chisel;cat_repeat1.csv
0;60730;81054;14222;24555;291992;0;0;date;2;cov;cat_repeat1.csv
0;60852;82153;14343;24240;294433;0;0;printokens2;2;bloated;cat_repeat1.csv
0;61463;84351;14954;25274;327331;0;0;printokens2;1;debop;cat_repeat1.csv
0;70495;94299;16540;28773;338683;0;0;grep;2;debop;cat_repeat1.csv
0;65430;88989;16174;27017;332701;0;0;grep;1;cov;cat_repeat1.csv
0;71899;97229;17212;28742;351317;0;0;grep;2;cov;cat_repeat1.csv
0;64453;86914;15564;26659;320861;0;0;grep;1;debop;cat_repeat1.csv
0;60730;84472;15015;24413;313048;0;0;date;1;bloated;cat_repeat1.csv
0;62439;83251;14954;25572;309753;0;0;mkdir;2;debop;cat_repeat1.csv
0;76172;100463;17517;28934;361876;0;0;gzip;2;bloated;cat_repeat1.csv
0;65918;84533;15442;25409;310302;0;0;date;2;bloated;cat_repeat1.csv
0;62439;83618;14832;25451;312621;244;0;printokens2;2;cov;cat_repeat1.csv
0;69519;90393;17151;27346;333251;977;0;grep;1;bloated;cat_repeat1.csv
0;61889;84289;15075;25062;309814;0;0;mkdir;2;chisel;cat_repeat1.csv
0;61523;83984;14953;24506;301757;0;4;sed;1;bloated;cat_repeat1.csv
0;69702;97412;17273;28680;349669;0;0;grep;2;bloated;cat_repeat1.csv
0;63538;83496;14954;24902;305114;0;0;printokens2;1;bloated;cat_repeat1.csv
0;61157;81482;14221;24742;306456;0;0;date;2;debop;cat_repeat1.csv
0;61280;86425;14953;25042;308776;0;0;printokens2;2;chisel;cat_repeat1.csv
0;62621;86365;15442;25803;322387;0;4;sed;2;debop;cat_repeat1.csv
0;73731;102661;16540;26178;324157;0;0;mkdir;1;bloated;cat_repeat1.csv
0;61645;83191;14893;25476;304198;0;4;sed;1;cov;cat_repeat1.csv
0;62012;84045;14953;25445;305114;0;4;sed;2;cov;cat_repeat1.csv
0;61096;81177;14282;24537;303344;0;0;date;1;cov;cat_repeat1.csv
0;112670;156616;27771;47496;590635;0;0;gzip;2;chisel;cat_repeat1.csv
0;61585;81848;14343;24521;288635;0;0;mkdir;1;cov;cat_repeat1.csv
0;60913;81054;14282;24522;303649;0;0;date;1;chisel;cat_repeat1.csv
0;61279;81543;14283;24477;293090;0;4;sed;2;bloated;cat_repeat1.csv
0;64331;83618;14892;25086;314513;0;0;printokens2;1;chisel;cat_repeat1.csv
0;62622;86547;15564;26009;322753;0;0;sed;1;chisel;cat_repeat1.csv
0;88318;111572;17944;29958;387511;0;0;gzip;2;cov;cat_repeat1.csv
0;74524;101928;17822;29209;373351;0;0;gzip;1;bloated;cat_repeat1.csv
0;65490;90332;17701;25499;313658;61;0;mkdir;2;bloated;cat_repeat1.csv
0;72021;97595;17212;28943;356201;0;0;gzip;1;debop;cat_repeat1.csv
0;61401;83679;14892;24863;305907;0;0;printokens2;2;debop;cat_repeat1.csv
0;71228;98267;17150;28478;338317;0;0;gzip;2;debop;cat_repeat1.csv
0;61523;84412;15015;24641;317504;0;0;mkdir;1;chisel;cat_repeat1.csv
0;60974;84045;14831;24570;301696;0;0;date;1;debop;cat_repeat1.csv
0;100341;133850;23376;40694;498717;0;0;grep;2;chisel;cat_repeat1.csv
0;72632;96802;17761;29364;357604;0;0;gzip;1;cov;cat_repeat1.csv
0;61340;84228;14831;25317;308837;0;0;mkdir;2;cov;cat_repeat1.csv
0;60120;80810;14221;24414;291564;0;0;date;2;chisel;cat_repeat2.csv
0;61157;82214;14466;24408;290038;0;0;mkdir;1;debop;cat_repeat2.csv
0;64209;82398;15320;25922;319519;0;0;sed;2;chisel;cat_repeat2.csv
0;60424;85204;14831;24289;306335;427;0;printokens2;1;cov;cat_repeat2.csv
0;113525;154724;27282;47232;561278;0;0;gzip;1;chisel;cat_repeat2.csv
0;60913;85388;15015;24627;300658;0;4;sed;1;debop;cat_repeat2.csv
0;93750;126953;22217;38553;469359;0;0;grep;1;chisel;cat_repeat2.csv
0;60730;85449;15381;24704;303100;0;0;date;2;cov;cat_repeat2.csv
0;59571;81970;14222;24125;288757;0;0;printokens2;2;bloated;cat_repeat2.csv
0;60242;82275;14282;24267;283812;0;0;printokens2;1;debop;cat_repeat2.csv
0;71228;99243;17762;28801;333129;0;0;grep;2;debop;cat_repeat2.csv
0;63720;88806;15564;25831;309874;0;0;grep;1;cov;cat_repeat2.csv
0;70861;96069;16541;28687;332214;0;0;grep;2;cov;cat_repeat2.csv
0;63842;88745;14832;26111;309509;0;0;grep;1;debop;cat_repeat2.csv
0;60547;82031;14282;24741;289428;0;0;date;1;bloated;cat_repeat2.csv
0;61218;85571;14770;24683;299194;0;0;mkdir;2;debop;cat_repeat2.csv
0;72510;101013;17151;28605;338501;0;0;gzip;2;bloated;cat_repeat2.csv
0;61828;82275;14953;24658;300231;305;0;date;2;bloated;cat_repeat2.csv
0;60546;85449;16724;24386;299072;0;0;printokens2;2;cov;cat_repeat2.csv
0;64636;89356;15686;26084;312133;0;0;grep;1;bloated;cat_repeat2.csv
0;60852;81909;14587;24349;306945;0;0;mkdir;2;chisel;cat_repeat2.csv
0;61340;85938;14954;24799;296813;0;4;sed;1;bloated;cat_repeat2.csv
0;70618;98755;17090;28811;347533;0;0;grep;2;bloated;cat_repeat2.csv
0;60608;82580;14282;24268;290222;0;0;printokens2;1;bloated;cat_repeat2.csv
0;61585;85877;14954;24639;302001;0;0;date;2;debop;cat_repeat2.csv
0;60119;85815;14709;24323;297851;0;0;printokens2;2;chisel;cat_repeat2.csv
0;61584;85999;14282;27297;283813;0;4;sed;2;debop;cat_repeat2.csv
0;62927;85388;15137;24667;290954;1098;0;mkdir;1;bloated;cat_repeat2.csv
0;60242;85815;15076;24353;298278;0;4;sed;1;cov;cat_repeat2.csv
0;62317;82092;14282;24770;302673;0;4;sed;2;cov;cat_repeat2.csv
0;61646;86792;14892;24621;298095;0;0;date;1;cov;cat_repeat2.csv
0;112182;157287;27832;47133;562255;0;0;gzip;2;chisel;cat_repeat2.csv
0;69763;108032;15930;24788;295349;0;0;mkdir;1;cov;cat_repeat2.csv
0;60425;82398;14465;24326;284057;0;0;date;1;chisel;cat_repeat2.csv
0;64087;88135;16540;25203;309570;977;4;sed;2;bloated;cat_repeat2.csv
0;60424;81054;14282;24311;286804;0;0;printokens2;1;chisel;cat_repeat2.csv
0;61340;85815;14893;24720;303039;0;0;sed;1;chisel;cat_repeat2.csv
0;72265;97228;16540;28569;334593;0;0;gzip;2;cov;cat_repeat2.csv
0;72021;97351;17151;28492;337218;0;0;gzip;1;bloated;cat_repeat2.csv
0;62073;86243;15259;24787;297119;0;0;mkdir;2;bloated;cat_repeat2.csv
0;71228;97595;16419;28416;339965;0;0;gzip;1;debop;cat_repeat2.csv
0;60791;85754;15381;24466;289672;0;0;printokens2;2;debop;cat_repeat2.csv
0;70862;96924;16480;28404;334593;0;0;gzip;2;debop;cat_repeat2.csv
0;60730;84655;16907;24507;294860;0;0;mkdir;1;chisel;cat_repeat2.csv
0;60669;81665;14282;24432;286926;0;0;date;1;debop;cat_repeat2.csv
0;99914;139892;26062;40397;494078;855;0;grep;2;chisel;cat_repeat2.csv
0;71960;100158;17639;28511;340637;0;0;gzip;1;cov;cat_repeat2.csv
0;60547;84350;14954;24799;288940;0;0;mkdir;2;cov;cat_repeat2.csv
0;61889;86792;14954;24423;272582;0;0;date;2;chisel;cat_repeat7.csv
0;72570;96862;16907;25683;313110;916;0;mkdir;1;debop;cat_repeat7.csv
0;62378;86731;14953;24715;285278;0;0;sed;2;chisel;cat_repeat7.csv
0;61218;82824;14282;24239;273315;0;0;printokens2;1;cov;cat_repeat7.csv
0;113525;157715;27344;47095;529174;0;0;gzip;1;chisel;cat_repeat7.csv
0;61523;86304;14954;24664;285034;0;4;sed;1;debop;cat_repeat7.csv
0;93322;130248;21668;37514;430602;0;0;grep;1;chisel;cat_repeat7.csv
0;61950;86669;14893;24546;285217;0;0;date;2;cov;cat_repeat7.csv
0;60852;82337;14221;24439;274291;0;0;printokens2;2;bloated;cat_repeat7.csv
0;60486;86548;14893;24209;285461;0;0;printokens2;1;debop;cat_repeat7.csv
0;70312;95154;17395;28812;329712;0;0;grep;2;debop;cat_repeat7.csv
0;63904;88806;15625;26106;295348;0;0;grep;1;cov;cat_repeat7.csv
0;70740;96130;16602;28632;318724;0;0;grep;2;cov;cat_repeat7.csv
0;63721;88989;15503;25924;302550;0;0;grep;1;debop;cat_repeat7.csv
0;62195;86486;14832;24568;285034;0;0;date;1;bloated;cat_repeat7.csv
0;62317;86731;14893;24844;285155;0;0;mkdir;2;debop;cat_repeat7.csv
0;72998;99976;17090;28742;337707;0;0;gzip;2;bloated;cat_repeat7.csv
0;61096;82946;14282;24476;275024;0;0;date;2;bloated;cat_repeat7.csv
0;59814;82153;14221;24161;275818;0;0;printokens2;2;cov;cat_repeat7.csv
0;64331;89295;15442;26017;297058;0;0;grep;1;bloated;cat_repeat7.csv
0;61889;83373;14282;24656;284118;0;0;mkdir;2;chisel;cat_repeat7.csv
0;61096;86059;14893;24499;287597;0;4;sed;1;bloated;cat_repeat7.csv
0;70984;95764;16784;28599;319091;0;0;grep;2;bloated;cat_repeat7.csv
0;61035;85693;14893;24599;286071;0;0;printokens2;1;bloated;cat_repeat7.csv
0;61890;85876;14771;24892;290465;305;0;date;2;debop;cat_repeat7.csv
0;61340;83008;14160;24215;273071;0;0;printokens2;2;chisel;cat_repeat7.csv
0;63354;88622;16662;24633;292053;976;4;sed;2;debop;cat_repeat7.csv
0;62683;86670;14893;27904;330627;0;0;mkdir;1;bloated;cat_repeat7.csv
0;61035;82580;14282;24625;274352;0;4;sed;1;cov;cat_repeat7.csv
0;81359;107360;16296;25898;333678;0;4;sed;2;cov;cat_repeat7.csv
0;61340;83557;14282;24445;274292;0;0;date;1;cov;cat_repeat7.csv
0;113098;157775;27222;47022;530882;0;0;gzip;2;chisel;cat_repeat7.csv
0;65918;86730;15076;27718;324279;0;0;mkdir;1;cov;cat_repeat7.csv
