iteration;CORE;CPU;DRAM;DURATION;PSYS;UNCORE;EXIT_CODE;Program;TestNr;Utilities
0;60120;80810;14221;24414;291564;0;0;date;02;chisel
0;61157;82214;14466;24408;290038;0;0;mkdir;01;debop
0;64209;82398;15320;25922;319519;0;0;sed;02;chisel
0;60424;85204;14831;24289;306335;427;0;printokens2;01;cov
0;113525;154724;27282;47232;561278;0;0;gzip;01;chisel
0;60913;85388;15015;24627;300658;0;4;sed;01;debop
0;93750;126953;22217;38553;469359;0;0;grep;01;chisel
0;60730;85449;15381;24704;303100;0;0;date;02;cov
0;59571;81970;14222;24125;288757;0;0;printokens2;02;bloated
0;60242;82275;14282;24267;283812;0;0;printokens2;01;debop
0;71228;99243;17762;28801;333129;0;0;grep;02;debop
0;63720;88806;15564;25831;309874;0;0;grep;01;cov
0;70861;96069;16541;28687;332214;0;0;grep;02;cov
0;63842;88745;14832;26111;309509;0;0;grep;01;debop
0;60547;82031;14282;24741;289428;0;0;date;01;bloated
0;61218;85571;14770;24683;299194;0;0;mkdir;02;debop
0;72510;101013;17151;28605;338501;0;0;gzip;02;bloated
0;61828;82275;14953;24658;300231;305;0;date;02;bloated
0;60546;85449;16724;24386;299072;0;0;printokens2;02;cov
0;64636;89356;15686;26084;312133;0;0;grep;01;bloated
0;60852;81909;14587;24349;306945;0;0;mkdir;02;chisel
0;61340;85938;14954;24799;296813;0;4;sed;01;bloated
0;70618;98755;17090;28811;347533;0;0;grep;02;bloated
0;60608;82580;14282;24268;290222;0;0;printokens2;01;bloated
0;61585;85877;14954;24639;302001;0;0;date;02;debop
0;60119;85815;14709;24323;297851;0;0;printokens2;02;chisel
0;61584;85999;14282;27297;283813;0;4;sed;02;debop
0;62927;85388;15137;24667;290954;1098;0;mkdir;01;bloated
0;60242;85815;15076;24353;298278;0;4;sed;01;cov
0;62317;82092;14282;24770;302673;0;4;sed;02;cov
0;61646;86792;14892;24621;298095;0;0;date;01;cov
0;112182;157287;27832;47133;562255;0;0;gzip;02;chisel
0;69763;108032;15930;24788;295349;0;0;mkdir;01;cov
0;60425;82398;14465;24326;284057;0;0;date;01;chisel
0;64087;88135;16540;25203;309570;977;4;sed;02;bloated
0;60424;81054;14282;24311;286804;0;0;printokens2;01;chisel
0;61340;85815;14893;24720;303039;0;0;sed;01;chisel
0;72265;97228;16540;28569;334593;0;0;gzip;02;cov
0;72021;97351;17151;28492;337218;0;0;gzip;01;bloated
0;62073;86243;15259;24787;297119;0;0;mkdir;02;bloated
0;71228;97595;16419;28416;339965;0;0;gzip;01;debop
0;60791;85754;15381;24466;289672;0;0;printokens2;02;debop
0;70862;96924;16480;28404;334593;0;0;gzip;02;debop
0;60730;84655;16907;24507;294860;0;0;mkdir;01;chisel
0;60669;81665;14282;24432;286926;0;0;date;01;debop
0;99914;139892;26062;40397;494078;855;0;grep;02;chisel
0;71960;100158;17639;28511;340637;0;0;gzip;01;cov
0;60547;84350;14954;24799;288940;0;0;mkdir;02;cov
