PSYS_repeat21,DURATION_repeat21,Utilities,Program,config,PSYS_repeat22,DURATION_repeat22,PSYS_repeat23,DURATION_repeat23
35590668,3180358,BusyBox,cat,1,35788421,3180772,35598176,3180701
2047358,174542,GNU,cat,1,2053340,174399,2073969,174731
1418643646,133395325,ToyBox,cat,1,1421365990,133411263,1423375934,133379673
460944254,43442534,BusyBox,cksum,1,464248445,43579741,461043497,43582321
22168889,1773628,GNU,cksum,1,22005131,1755723,21807256,1750185
389073467,36113122,ToyBox,cksum,1,388271772,36119906,388175581,35984419
301206565,26075476,BusyBox,sort,1,301986898,25954696,300615136,26015950
89052934,5996938,GNU,sort,1,93519413,6128650,88846574,5990229
442347439,39243981,ToyBox,sort,1,444056236,39281080,442996913,39225641
295898,24463,BusyBox,mkdir,1,275329,24431,269164,24265
330932,28295,GNU,mkdir,1,283813,25021,268920,24757
285521,25153,ToyBox,mkdir,1,282226,24518,280394,24707
302978,24647,BusyBox,logname,1,307860,24746,303405,24687
302856,24788,GNU,logname,1,303161,24850,303221,24693
310607,26860,ToyBox,logname,1,284546,24835,272094,24665
5944137,475948,BusyBox,cut,1,6000839,476150,5746018,476059
2325251,186007,GNU,cut,1,2338373,186296,2311517,186181
11465302,983527,ToyBox,cut,1,11406953,975349,11464387,971907
269591,24330,BusyBox,chmod,1,283019,24577,268859,24200
293700,24449,GNU,chmod,1,283752,24537,289855,24604
318541,27095,ToyBox,chmod,1,285583,24596,289917,24642
292236,24482,BusyBox,ln,1,276733,24480,290099,24246
290893,24480,GNU,ln,1,292602,24511,303405,24679
320922,28182,ToyBox,ln,1,304260,24767,300841,24568
295593,25508,BusyBox,md5sum,1,302367,25597,296081,25410
313171,25608,GNU,md5sum,1,317504,25578,296263,25563
336974,28614,ToyBox,md5sum,1,332763,26859,329772,26870
269897,24250,BusyBox,True,1,276794,24525,269897,24407
280700,24492,GNU,True,1,271484,24303,268981,24364
273742,24791,ToyBox,True,1,269653,24480,280822,24448
295287,24429,BusyBox,echo,1,297301,24370,291869,24364
307739,24633,GNU,echo,1,308593,24744,296324,24535
339172,29410,ToyBox,echo,1,308349,24669,279357,24552
