Program;Utilities;PSYS;Options
base64;BusyBox;430354.5;2
base64;GNU;349504.85;5
base64;ToyBox;907797.9;3
basename;BusyBox;293712.65;2
basename;GNU;294027.1;5
basename;ToyBox;292617.1;2
cat;BusyBox;37555418.35;6
cat;GNU;2125736.1;12
cat;ToyBox;1517433316.2;4
chmod;BusyBox;1951975.55;4
chmod;GNU;1539668.7;9
chmod;ToyBox;1523403.2;0
cksum;BusyBox;245804674.7;0
cksum;GNU;11393452.35;16
cksum;ToyBox;206246026.75;5
comm;BusyBox;120871544.2;3
comm;GNU;55065279.7;10
comm;ToyBox;338316876.9;3
cp;BusyBox;111249422.3;13
cp;GNU;108848402.9;36
cp;ToyBox;147443488.4;19
cut;BusyBox;4932394.1;9
cut;GNU;2207312.35;12
cut;ToyBox;11399989.05;9
date;BusyBox;312215.25;6
date;GNU;315367.9;12
date;ToyBox;315306.9;6
dirname;BusyBox;310088.4;0
dirname;GNU;321538.4;3
dirname;ToyBox;312242.9;0
du;BusyBox;490593.25;12
du;GNU;523237.7;30
du;ToyBox;518535.05;13
echo;BusyBox;305297.2;1
echo;GNU;321446.9;5
echo;ToyBox;310884.75;3
expand;BusyBox;14566014.9;2
expand;GNU;7273003.85;5
expand;ToyBox;502357.8;1
factor;BusyBox;316259.0;0
factor;GNU;321971.9;3
factor;ToyBox;316164.25;2
false;BusyBox;305318.35;0
false;GNU;320140.65;2
false;ToyBox;314748.35;0
head;BusyBox;307939.85;5
head;GNU;320018.7;7
head;ToyBox;314821.5;4
id;BusyBox;308193.3;5
id;GNU;327916.7;10
id;ToyBox;313204.25;5
link;BusyBox;306343.65;0
link;GNU;317284.3;2
link;ToyBox;312355.8;0
ln;BusyBox;305120.05;7
ln;GNU;322475.35;16
ln;ToyBox;335704.6;7
logname;BusyBox;310082.15;0
logname;GNU;322386.9;2
logname;ToyBox;310829.8;0
ls;BusyBox;898062.85;28
ls;GNU;1048413.35;60
ls;ToyBox;3487466.7;16
md5sum;BusyBox;143150640.5;3
md5sum;GNU;118599778.8;12
md5sum;ToyBox;264030510.05;3
mkdir;BusyBox;297652.6;2
mkdir;GNU;306612.3;7
mkdir;ToyBox;300334.95;3
mv;BusyBox;295278.2;5
mv;GNU;306938.95;17
mv;ToyBox;296898.8;6
sort;BusyBox;318299264.7;17
sort;GNU;95543426.25;31
sort;ToyBox;469334195.7;19
touch;BusyBox;294509.05;7
touch;GNU;295195.75;11
touch;ToyBox;295180.6;7
true;BusyBox;294853.9;0
true;GNU;294783.85;2
true;ToyBox;290862.3;0
wc;BusyBox;87557206.75;5
wc;GNU;454693406.8;9
wc;ToyBox;151481252.75;4
