Program;Utilities;PSYS;DURATION
base64;BusyBox;409972.0;36139.75
base64;GNU;344466.25;28772.75
base64;ToyBox;853574.5;75833.0
basename;BusyBox;275024.0;24316.75
basename;GNU;289809.5;24613.25
basename;ToyBox;272902.75;24565.25
cat;BusyBox;35513347.166666664;3166797.0
cat;GNU;2088353.3333333333;176614.33333333334
cat;ToyBox;1431692319.0;134192587.33333333
chmod;BusyBox;1865259.8333333333;165643.16666666666
chmod;GNU;1522833.3333333333;129684.5
chmod;ToyBox;1462795.3333333333;129796.33333333333
cksum;BusyBox;231203336.33333334;21781956.833333332
cksum;GNU;11154430.833333334;892771.1666666666
cksum;ToyBox;194416718.16666666;18050470.166666668
comm;BusyBox;113792779.16666667;9979117.833333334
comm;GNU;51987995.5;4479060.333333333
comm;ToyBox;313253460.5;29191195.333333332
cp;BusyBox;98989085.66666667;7746617.666666667
cp;GNU;104529599.0;8215488.666666667
cp;ToyBox;98784231.66666667;7760892.666666667
cut;BusyBox;4823657.166666667;386415.6666666667
cut;GNU;2125279.3333333335;168929.83333333334
cut;ToyBox;11091432.666666666;939420.1666666666
date;BusyBox;295388.8333333333;24484.333333333332
date;GNU;301126.3333333333;24615.833333333332
date;ToyBox;309528.8333333333;25389.5
df;BusyBox;306578.8333333333;24838.333333333332
df;GNU;310494.8333333333;25328.666666666668
df;ToyBox;324950.3333333333;26587.333333333332
dirname;BusyBox;304767.8333333333;24416.833333333332
dirname;GNU;299356.5;24683.5
dirname;ToyBox;308806.5;25228.5
du;BusyBox;474404.6666666667;38442.0
du;GNU;491738.6666666667;40196.0
du;ToyBox;495502.6666666667;40907.166666666664
echo;BusyBox;298959.5;24397.5
echo;GNU;304005.1666666667;24663.5
echo;ToyBox;304056.1666666667;25362.0
expand;BusyBox;14156803.5;1150760.8333333333
expand;GNU;6818789.666666667;548030.6666666666
expand;ToyBox;496835.1666666667;38863.0
factor;BusyBox;302489.3333333333;24608.0
factor;GNU;306944.8333333333;24764.666666666668
factor;ToyBox;308450.6666666667;25566.0
false;BusyBox;295948.5;24384.833333333332
false;GNU;299163.1666666667;24478.333333333332
false;ToyBox;301553.5;25098.166666666668
head;BusyBox;303059.1666666667;24950.5
head;GNU;307301.3333333333;24673.333333333332
head;ToyBox;310993.8333333333;25928.166666666668
id;BusyBox;298461.1666666667;24475.666666666668
id;GNU;307260.3333333333;25009.166666666668
id;ToyBox;307291.0;25535.833333333332
link;BusyBox;296101.3333333333;24549.5
link;GNU;302428.5;24605.166666666668
link;ToyBox;304117.0;25239.0
ln;BusyBox;295338.3333333333;24400.0
ln;GNU;297138.8333333333;24579.0
ln;ToyBox;321267.8333333333;25687.166666666668
logname;BusyBox;302926.8333333333;24729.5
logname;GNU;301187.5;24775.833333333332
logname;ToyBox;292835.8333333333;25155.166666666668
ls;BusyBox;862211.1666666666;73060.5
ls;GNU;987943.0;81587.66666666667
ls;ToyBox;3389131.3333333335;287514.8333333333
md5sum;BusyBox;133688866.83333333;12121480.0
md5sum;GNU;110631318.5;10133946.333333334
md5sum;ToyBox;247420285.5;22134293.333333332
mkdir;BusyBox;279957.3333333333;24505.333333333332
mkdir;GNU;287637.6666666667;25597.166666666668
mkdir;ToyBox;288624.0;25375.5
mv;BusyBox;275217.1666666667;24482.666666666668
mv;GNU;292367.8333333333;25299.5
mv;ToyBox;278228.1666666667;24724.0
sort;BusyBox;297954173.0;25683071.166666668
sort;GNU;89889957.33333333;6025301.333333333
sort;ToyBox;438850713.5;38948117.166666664
touch;BusyBox;275267.8333333333;24454.166666666668
touch;GNU;280293.1666666667;24661.166666666668
touch;ToyBox;281554.5;24760.333333333332
true;BusyBox;275868.0;24378.5
true;GNU;274027.0;24392.166666666668
true;ToyBox;273833.5;24459.833333333332
wc;BusyBox;81389084.16666667;7232204.5
wc;GNU;428144289.8333333;37794496.0
wc;ToyBox;140506873.0;12566434.333333334
