Program;Utilities;PSYS;DURATION
base64;BusyBox;430354.5;36292.15
base64;GNU;349504.85;29018.45
base64;ToyBox;907797.9;76122.7
basename;BusyBox;293712.65;24464.1
basename;GNU;294027.1;24656.95
basename;ToyBox;292617.1;24575.65
cat;BusyBox;37555418.35;3163517.5
cat;GNU;2125736.1;176034.4
cat;ToyBox;1517433316.2;134210471.45
chmod;BusyBox;1951975.55;164487.45
chmod;GNU;1539668.7;128450.15
chmod;ToyBox;1523403.2;129030.4
cksum;BusyBox;245804674.7;21760644.35
cksum;GNU;11393452.35;889659.95
cksum;ToyBox;206246026.75;18058658.4
comm;BusyBox;120871544.2;9997288.1
comm;GNU;55065279.7;4500057.0
comm;ToyBox;338316876.9;29222937.6
cp;BusyBox;111249422.3;8231940.4
cp;GNU;108848402.9;7937432.7
cp;ToyBox;147443488.4;11319250.7
cut;BusyBox;4932394.1;389338.85
cut;GNU;2207312.35;169250.4
cut;ToyBox;11399989.05;938158.05
date;BusyBox;312215.25;24829.9
date;GNU;315367.9;24725.65
date;ToyBox;315306.9;24952.2
dirname;BusyBox;310088.4;24648.85
dirname;GNU;321538.4;24619.65
dirname;ToyBox;312242.9;24866.75
du;BusyBox;490593.25;39123.7
du;GNU;523237.7;40097.4
du;ToyBox;518535.05;41391.95
echo;BusyBox;305297.2;24341.6
echo;GNU;321446.9;24526.1
echo;ToyBox;310884.75;24670.65
expand;BusyBox;14566014.9;1154557.6
expand;GNU;7273003.85;550115.15
expand;ToyBox;502357.8;38493.8
factor;BusyBox;316259.0;25021.85
factor;GNU;321971.9;24842.55
factor;ToyBox;316164.25;25241.95
false;BusyBox;305318.35;24694.65
false;GNU;320140.65;24720.95
false;ToyBox;314748.35;24870.45
head;BusyBox;307939.85;24571.75
head;GNU;320018.7;24720.8
head;ToyBox;314821.5;24977.55
id;BusyBox;308193.3;24607.35
id;GNU;327916.7;25073.4
id;ToyBox;313204.25;24978.6
link;BusyBox;306343.65;24563.1
link;GNU;317284.3;24601.25
link;ToyBox;312355.8;25015.8
ln;BusyBox;305120.05;24511.35
ln;GNU;322475.35;24811.15
ln;ToyBox;335704.6;25527.85
logname;BusyBox;310082.15;24816.15
logname;GNU;322386.9;24869.9
logname;ToyBox;310829.8;25117.05
ls;BusyBox;898062.85;72378.6
ls;GNU;1048413.35;81641.75
ls;ToyBox;3487466.7;286714.35
md5sum;BusyBox;143150640.5;12144444.45
md5sum;GNU;118599778.8;10135112.4
md5sum;ToyBox;264030510.05;22194731.25
mkdir;BusyBox;297652.6;24651.05
mkdir;GNU;306612.3;25077.0
mkdir;ToyBox;300334.95;24881.55
mv;BusyBox;295278.2;24600.95
mv;GNU;306938.95;25045.6
mv;ToyBox;296898.8;24747.95
sort;BusyBox;318299264.7;25815457.25
sort;GNU;95543426.25;6071602.1
sort;ToyBox;469334195.7;39105253.4
touch;BusyBox;294509.05;24462.65
touch;GNU;295195.75;24702.85
touch;ToyBox;295180.6;24674.4
true;BusyBox;294853.9;24513.9
true;GNU;294783.85;24610.7
true;ToyBox;290862.3;24489.85
wc;BusyBox;87557206.75;7325950.95
wc;GNU;454693406.8;37752114.4
wc;ToyBox;151481252.75;12707943.4
