Program;Utilities;PSYS
base64;BusyBox;409972.0
base64;GNU;344466.25
base64;ToyBox;853574.5
basename;BusyBox;275024.0
basename;GNU;289809.5
basename;ToyBox;272902.75
cat;BusyBox;35513347.166666664
cat;GNU;2088353.3333333333
cat;ToyBox;1431692319.0
chmod;BusyBox;1865259.8333333333
chmod;GNU;1522833.3333333333
chmod;ToyBox;1462795.3333333333
cksum;BusyBox;231203336.33333334
cksum;GNU;11154430.833333334
cksum;ToyBox;194416718.16666666
comm;BusyBox;113792779.16666667
comm;GNU;51987995.5
comm;ToyBox;313253460.5
cp;BusyBox;98989085.66666667
cp;GNU;104529599.0
cp;ToyBox;98784231.66666667
cut;BusyBox;4823657.166666667
cut;GNU;2125279.3333333335
cut;ToyBox;11091432.666666666
date;BusyBox;295388.8333333333
date;GNU;301126.3333333333
date;ToyBox;309528.8333333333
df;BusyBox;306578.8333333333
df;GNU;310494.8333333333
df;ToyBox;324950.3333333333
dirname;BusyBox;304767.8333333333
dirname;GNU;299356.5
dirname;ToyBox;308806.5
du;BusyBox;474404.6666666667
du;GNU;491738.6666666667
du;ToyBox;495502.6666666667
echo;BusyBox;298959.5
echo;GNU;304005.1666666667
echo;ToyBox;304056.1666666667
expand;BusyBox;14156803.5
expand;GNU;6818789.666666667
expand;ToyBox;496835.1666666667
factor;BusyBox;302489.3333333333
factor;GNU;306944.8333333333
factor;ToyBox;308450.6666666667
false;BusyBox;295948.5
false;GNU;299163.1666666667
false;ToyBox;301553.5
head;BusyBox;303059.1666666667
head;GNU;307301.3333333333
head;ToyBox;310993.8333333333
id;BusyBox;298461.1666666667
id;GNU;307260.3333333333
id;ToyBox;307291.0
link;BusyBox;296101.3333333333
link;GNU;302428.5
link;ToyBox;304117.0
ln;BusyBox;295338.3333333333
ln;GNU;297138.8333333333
ln;ToyBox;321267.8333333333
logname;BusyBox;302926.8333333333
logname;GNU;301187.5
logname;ToyBox;292835.8333333333
ls;BusyBox;862211.1666666666
ls;GNU;987943.0
ls;ToyBox;3389131.3333333335
md5sum;BusyBox;133688866.83333333
md5sum;GNU;110631318.5
md5sum;ToyBox;247420285.5
mkdir;BusyBox;279957.3333333333
mkdir;GNU;287637.6666666667
mkdir;ToyBox;288624.0
mv;BusyBox;275217.1666666667
mv;GNU;292367.8333333333
mv;ToyBox;278228.1666666667
sort;BusyBox;297954173.0
sort;GNU;89889957.33333333
sort;ToyBox;438850713.5
touch;BusyBox;275267.8333333333
touch;GNU;280293.1666666667
touch;ToyBox;281554.5
true;BusyBox;275868.0
true;GNU;274027.0
true;ToyBox;273833.5
wc;BusyBox;81389084.16666667
wc;GNU;428144289.8333333
wc;ToyBox;140506873.0
