Program;Utilities;PSYS_avg;PSYS_std
base64;BusyBox;430354.5;79873.85
base64;GNU;349504.85;39334.43
base64;ToyBox;907797.9;43460.6
basename;BusyBox;293712.65;15979.27
basename;GNU;294027.1;16076.31
basename;ToyBox;292617.1;13297.88
cat;BusyBox;37555418.35;1933901.17
cat;GNU;2125736.1;106527.49
cat;ToyBox;1517433316.2;81347967.94
chmod;BusyBox;1951975.55;1710632.31
chmod;GNU;1539668.7;1279563.53
chmod;ToyBox;1523403.2;1262759.87
cksum;BusyBox;245804674.7;252587319.36
cksum;GNU;11393452.35;11415710.21
cksum;ToyBox;206246026.75;211739514.32
comm;BusyBox;120871544.2;8632370.96
comm;GNU;55065279.7;5564975.29
comm;ToyBox;338316876.9;285759714.09
cp;BusyBox;111249422.3;18988309.85
cp;GNU;108848402.9;7204404.59
cp;ToyBox;147443488.4;56974750.43
cut;BusyBox;4932394.1;1196929.75
cut;GNU;2207312.35;252658.47
cut;ToyBox;11399989.05;717489.24
date;BusyBox;312215.25;19193.64
date;GNU;315367.9;20636.38
date;ToyBox;315306.9;19048.64
dirname;BusyBox;310088.4;20070.1
dirname;GNU;321538.4;18927.79
dirname;ToyBox;312242.9;18102.39
du;BusyBox;490593.25;208065.35
du;GNU;523237.7;230875.24
du;ToyBox;518535.05;229144.16
echo;BusyBox;305297.2;19532.93
echo;GNU;321446.9;18236.49
echo;ToyBox;310884.75;19029.26
expand;BusyBox;14566014.9;848150.37
expand;GNU;7273003.85;331423.93
expand;ToyBox;502357.8;28736.79
factor;BusyBox;316259.0;20892.24
factor;GNU;321971.9;17206.73
factor;ToyBox;316164.25;17668.85
false;BusyBox;305318.35;16701.09
false;GNU;320140.65;19096.96
false;ToyBox;314748.35;18049.95
head;BusyBox;307939.85;21285.09
head;GNU;320018.7;18191.08
head;ToyBox;314821.5;19263.23
id;BusyBox;308193.3;20107.47
id;GNU;327916.7;22629.0
id;ToyBox;313204.25;15741.95
link;BusyBox;306343.65;20841.41
link;GNU;317284.3;19773.28
link;ToyBox;312355.8;20716.7
ln;BusyBox;305120.05;18823.7
ln;GNU;322475.35;20015.18
ln;ToyBox;335704.6;33518.05
logname;BusyBox;310082.15;21138.62
logname;GNU;322386.9;16001.76
logname;ToyBox;310829.8;19138.98
ls;BusyBox;898062.85;218566.44
ls;GNU;1048413.35;472132.06
ls;ToyBox;3487466.7;1028529.91
md5sum;BusyBox;143150640.5;146898427.43
md5sum;GNU;118599778.8;121781334.04
md5sum;ToyBox;264030510.05;271143547.34
mkdir;BusyBox;297652.6;14539.16
mkdir;GNU;306612.3;19590.62
mkdir;ToyBox;300334.95;17902.22
mv;BusyBox;295278.2;16224.78
mv;GNU;306938.95;21166.24
mv;ToyBox;296898.8;16479.84
sort;BusyBox;318299264.7;16594187.59
sort;GNU;95543426.25;4749182.22
sort;ToyBox;469334195.7;25613373.61
touch;BusyBox;294509.05;16547.22
touch;GNU;295195.75;18711.36
touch;ToyBox;295180.6;14868.63
true;BusyBox;294853.9;15878.53
true;GNU;294783.85;21168.29
true;ToyBox;290862.3;18211.51
wc;BusyBox;87557206.75;6071930.63
wc;GNU;454693406.8;24167082.57
wc;ToyBox;151481252.75;32477547.88
