Program;Utilities;PSYS_avg;PSYS_std
base64;BusyBox;0.43;0.08
base64;GNU;0.35;0.04
base64;ToyBox;0.91;0.04
basename;BusyBox;0.29;0.02
basename;GNU;0.29;0.02
basename;ToyBox;0.29;0.01
cat;BusyBox;37.56;1.93
cat;GNU;2.13;0.11
cat;ToyBox;1517.43;81.35
chmod;BusyBox;1.95;1.71
chmod;GNU;1.54;1.28
chmod;ToyBox;1.52;1.26
cksum;BusyBox;245.8;252.59
cksum;GNU;11.39;11.42
cksum;ToyBox;206.25;211.74
comm;BusyBox;120.87;8.63
comm;GNU;55.07;5.56
comm;ToyBox;338.32;285.76
cp;BusyBox;111.25;18.99
cp;GNU;108.85;7.2
cp;ToyBox;147.44;56.97
cut;BusyBox;4.93;1.2
cut;GNU;2.21;0.25
cut;ToyBox;11.4;0.72
date;BusyBox;0.31;0.02
date;GNU;0.32;0.02
date;ToyBox;0.32;0.02
dirname;BusyBox;0.31;0.02
dirname;GNU;0.32;0.02
dirname;ToyBox;0.31;0.02
du;BusyBox;0.49;0.21
du;GNU;0.52;0.23
du;ToyBox;0.52;0.23
echo;BusyBox;0.31;0.02
echo;GNU;0.32;0.02
echo;ToyBox;0.31;0.02
expand;BusyBox;14.57;0.85
expand;GNU;7.27;0.33
expand;ToyBox;0.5;0.03
factor;BusyBox;0.32;0.02
factor;GNU;0.32;0.02
factor;ToyBox;0.32;0.02
false;BusyBox;0.31;0.02
false;GNU;0.32;0.02
false;ToyBox;0.31;0.02
head;BusyBox;0.31;0.02
head;GNU;0.32;0.02
head;ToyBox;0.31;0.02
id;BusyBox;0.31;0.02
id;GNU;0.33;0.02
id;ToyBox;0.31;0.02
link;BusyBox;0.31;0.02
link;GNU;0.32;0.02
link;ToyBox;0.31;0.02
ln;BusyBox;0.31;0.02
ln;GNU;0.32;0.02
ln;ToyBox;0.34;0.03
logname;BusyBox;0.31;0.02
logname;GNU;0.32;0.02
logname;ToyBox;0.31;0.02
ls;BusyBox;0.9;0.22
ls;GNU;1.05;0.47
ls;ToyBox;3.49;1.03
md5sum;BusyBox;143.15;146.9
md5sum;GNU;118.6;121.78
md5sum;ToyBox;264.03;271.14
mkdir;BusyBox;0.3;0.01
mkdir;GNU;0.31;0.02
mkdir;ToyBox;0.3;0.02
mv;BusyBox;0.3;0.02
mv;GNU;0.31;0.02
mv;ToyBox;0.3;0.02
sort;BusyBox;318.3;16.59
sort;GNU;95.54;4.75
sort;ToyBox;469.33;25.61
touch;BusyBox;0.29;0.02
touch;GNU;0.3;0.02
touch;ToyBox;0.3;0.01
true;BusyBox;0.29;0.02
true;GNU;0.29;0.02
true;ToyBox;0.29;0.02
wc;BusyBox;87.56;6.07
wc;GNU;454.69;24.17
wc;ToyBox;151.48;32.48
