Program;PSYS_avg_BusyBox;PSYS_avg_GNU;PSYS_avg_ToyBox;PSYS_std_BusyBox;PSYS_std_GNU;PSYS_std_ToyBox
base64;430354.5;349504.85;907797.9;79873.85;39334.43;43460.6
basename;293712.65;294027.1;292617.1;15979.27;16076.31;13297.88
cat;37555418.35;2125736.1;1517433316.2;1933901.17;106527.49;81347967.94
chmod;1951975.55;1539668.7;1523403.2;1710632.31;1279563.53;1262759.87
cksum;245804674.7;11393452.35;206246026.75;252587319.36;11415710.21;211739514.32
comm;120871544.2;55065279.7;338316876.9;8632370.96;5564975.29;285759714.09
cp;111249422.3;108848402.9;147443488.4;18988309.85;7204404.59;56974750.43
cut;4932394.1;2207312.35;11399989.05;1196929.75;252658.47;717489.24
date;312215.25;315367.9;315306.9;19193.64;20636.38;19048.64
dirname;310088.4;321538.4;312242.9;20070.1;18927.79;18102.39
du;490593.25;523237.7;518535.05;208065.35;230875.24;229144.16
echo;305297.2;321446.9;310884.75;19532.93;18236.49;19029.26
expand;14566014.9;7273003.85;502357.8;848150.37;331423.93;28736.79
factor;316259.0;321971.9;316164.25;20892.24;17206.73;17668.85
false;305318.35;320140.65;314748.35;16701.09;19096.96;18049.95
head;307939.85;320018.7;314821.5;21285.09;18191.08;19263.23
id;308193.3;327916.7;313204.25;20107.47;22629.0;15741.95
link;306343.65;317284.3;312355.8;20841.41;19773.28;20716.7
ln;305120.05;322475.35;335704.6;18823.7;20015.18;33518.05
logname;310082.15;322386.9;310829.8;21138.62;16001.76;19138.98
ls;898062.85;1048413.35;3487466.7;218566.44;472132.06;1028529.91
md5sum;143150640.5;118599778.8;264030510.05;146898427.43;121781334.04;271143547.34
mkdir;297652.6;306612.3;300334.95;14539.16;19590.62;17902.22
mv;295278.2;306938.95;296898.8;16224.78;21166.24;16479.84
sort;318299264.7;95543426.25;469334195.7;16594187.59;4749182.22;25613373.61
touch;294509.05;295195.75;295180.6;16547.22;18711.36;14868.63
true;294853.9;294783.85;290862.3;15878.53;21168.29;18211.51
wc;87557206.75;454693406.8;151481252.75;6071930.63;24167082.57;32477547.88
