iteration;CORE;CPU;DRAM;DURATION;PSYS;UNCORE;EXIT_CODE;Program;TestNr;Utilities;Repetition
0;7196881;10226414;1786495;2694899;33766759;0;0;cut;1;ToyBox;cat_repeat13.csv
0;830869;1132932;180358;299853;3733999;0;0;cut;2;BusyBox;cat_repeat13.csv
0;64697;91675;16418;25018;294494;0;0;wc;1;GNU;cat_repeat13.csv
0;60241;88622;15747;23459;280700;0;0;du;1;BusyBox;cat_repeat13.csv
0;6114425;9436805;2114008;3486199;38826744;1525;0;mv;2;BusyBox;cat_repeat13.csv
0;21964666;30962079;6980268;7741019;103012370;0;0;cp;1;BusyBox;cat_repeat13.csv
0;66223;94238;15503;25002;290222;0;0;wc;1;ToyBox;cat_repeat13.csv
0;61706;87829;14770;24696;302062;0;0;cat;1;GNU;cat_repeat13.csv
0;64270;90393;15564;24777;311828;0;0;wc;1;BusyBox;cat_repeat13.csv
0;61157;84777;14343;24776;294189;0;0;cat;1;BusyBox;cat_repeat13.csv
0;5266222;8107523;1829646;2977866;33861241;0;0;mv;1;ToyBox;cat_repeat13.csv
0;625791;906431;164368;224153;2896843;0;0;cut;1;GNU;cat_repeat13.csv
0;28649707;44218454;10636265;12244353;156716517;15930;0;cp;2;ToyBox;cat_repeat13.csv
0;5886215;7980265;1573117;2201499;26817192;0;0;sort;1;BusyBox;cat_repeat13.csv
0;6544051;9132668;1502194;2589799;31464885;2625;0;cut;2;ToyBox;cat_repeat13.csv
0;74340;98327;19287;25426;345946;0;0;du;2;GNU;cat_repeat13.csv
0;4485889;6326033;1170407;1833433;22359135;2930;0;mv;2;ToyBox;cat_repeat13.csv
0;62561;85816;14770;24899;276427;0;0;touch;1;ToyBox;cat_repeat13.csv
0;84533;118713;19958;33094;384215;0;0;cat;2;ToyBox;cat_repeat13.csv
0;66406;95703;17273;23235;305480;0;0;du;1;GNU;cat_repeat13.csv
0;4564075;6430281;1244137;1926153;21653509;0;0;mv;2;GNU;cat_repeat13.csv
0;22020940;31060773;7007001;7759547;103189616;0;0;cp;1;ToyBox;cat_repeat13.csv
0;63538;90027;15503;24747;300964;0;0;cat;2;GNU;cat_repeat13.csv
0;28782214;44153512;10678927;12626019;159209065;0;0;cp;2;BusyBox;cat_repeat13.csv
0;65063;92590;16846;25024;298827;0;0;ls;2;BusyBox;cat_repeat13.csv
0;61585;89172;14892;24571;307555;0;0;touch;2;BusyBox;cat_repeat13.csv
0;5706284;7747294;1531185;2155410;27001152;0;0;sort;2;BusyBox;cat_repeat13.csv
0;63232;87402;15137;24796;275390;0;0;touch;2;ToyBox;cat_repeat13.csv
0;63598;90393;15625;24726;299377;0;0;ls;1;BusyBox;cat_repeat13.csv
0;72265;99731;16175;26143;298461;0;0;touch;1;GNU;cat_repeat13.csv
0;66040;91430;16113;25320;315002;0;0;du;2;ToyBox;cat_repeat13.csv
0;22047795;31031781;6996992;7774954;103176372;1587;0;cp;1;GNU;cat_repeat13.csv
0;1501156;2059443;337951;572900;6970197;0;0;cut;1;BusyBox;cat_repeat13.csv
0;63720;89234;15320;24915;281127;0;0;touch;2;GNU;cat_repeat13.csv
0;16007588;22426579;4272083;6188380;75023001;41259;0;sort;2;ToyBox;cat_repeat13.csv
0;86242;115967;19348;32916;408324;0;0;cat;1;ToyBox;cat_repeat13.csv
0;75500;109801;20142;25645;345031;0;0;ls;2;GNU;cat_repeat13.csv
0;16050924;22427189;4319569;6208881;76484912;25391;0;sort;1;ToyBox;cat_repeat13.csv
0;73608;115112;19653;25273;343993;0;0;ls;1;GNU;cat_repeat13.csv
0;4105459;5878220;1131284;1477592;19204480;0;0;mv;1;GNU;cat_repeat13.csv
0;64086;92102;16418;24826;289123;0;0;cat;2;BusyBox;cat_repeat13.csv
0;64819;96802;16297;25388;310424;0;0;ls;1;ToyBox;cat_repeat13.csv
0;2455072;3239188;841062;661284;8891823;0;0;sort;1;GNU;cat_repeat13.csv
0;63172;89478;15502;24732;310241;0;0;wc;2;BusyBox;cat_repeat13.csv
0;62011;88134;14892;24668;307738;0;0;touch;1;BusyBox;cat_repeat13.csv
0;64881;83496;14526;23473;302429;0;0;du;1;ToyBox;cat_repeat13.csv
0;63903;90149;14832;24882;283629;0;0;wc;2;GNU;cat_repeat13.csv
0;29095629;44391183;10651523;12316827;157314051;0;0;cp;2;GNU;cat_repeat13.csv
0;71167;100097;17395;26888;325378;0;0;ls;2;ToyBox;cat_repeat13.csv
0;65185;92468;16235;25096;310668;0;0;du;2;BusyBox;cat_repeat13.csv
0;6883649;11129854;2690362;4478023;49662471;0;0;mv;1;BusyBox;cat_repeat13.csv
0;475280;680845;114257;154191;2036067;0;0;cut;2;GNU;cat_repeat13.csv
0;2448602;3236930;843931;657533;8886696;0;0;sort;2;GNU;cat_repeat13.csv
0;65612;93567;16663;24869;284301;0;0;wc;2;ToyBox;cat_repeat13.csv
0;5891099;8470071;1512630;2177621;27564443;0;0;cut;1;ToyBox;cat_repeat11.csv
0;867612;1170224;179382;299891;3765371;0;0;cut;2;BusyBox;cat_repeat11.csv
0;63781;89295;15076;24887;288451;0;0;wc;1;GNU;cat_repeat11.csv
0;58655;82275;13916;23464;279052;0;0;du;1;BusyBox;cat_repeat11.csv
0;7372906;11864776;2834954;4763100;52147999;0;0;mv;2;BusyBox;cat_repeat11.csv
0;22088018;31258221;7052411;7785278;103764016;12084;0;cp;1;BusyBox;cat_repeat11.csv
0;61829;90759;15320;25222;295226;0;0;wc;1;ToyBox;cat_repeat11.csv
0;64148;90271;15258;24847;287658;0;0;cat;1;GNU;cat_repeat11.csv
0;68726;103088;19348;29281;335387;0;0;wc;1;BusyBox;cat_repeat11.csv
0;61890;88257;15014;24850;300598;0;0;cat;1;BusyBox;cat_repeat11.csv
0;4333363;6333113;1269040;1661088;21207343;0;0;mv;1;ToyBox;cat_repeat11.csv
0;634459;900266;155761;212091;2808831;0;0;cut;1;GNU;cat_repeat11.csv
0;28727527;44064584;10615878;12311717;156199978;0;0;cp;2;ToyBox;cat_repeat11.csv
0;5849472;7941080;1570735;2201584;27191703;0;0;sort;1;BusyBox;cat_repeat11.csv
0;5610399;8040506;1417599;2044556;25869258;0;0;cut;2;ToyBox;cat_repeat11.csv
0;69091;109314;19409;25467;346557;0;0;du;2;GNU;cat_repeat11.csv
0;4806751;6991620;1433773;2205255;25579463;0;0;mv;2;ToyBox;cat_repeat11.csv
0;64026;88867;14892;25617;294128;0;0;touch;1;ToyBox;cat_repeat11.csv
0;77026;105835;18127;31016;362304;0;0;cat;2;ToyBox;cat_repeat11.csv
0;66223;100708;17944;23182;304015;0;0;du;1;GNU;cat_repeat11.csv
0;4374623;6009262;1107602;1736521;19631969;0;0;mv;2;GNU;cat_repeat11.csv
0;22137700;30930036;7006391;7819945;103251261;0;0;cp;1;ToyBox;cat_repeat11.csv
0;63415;89600;14954;24728;296508;0;0;cat;2;GNU;cat_repeat11.csv
0;28718066;44146798;10620090;12314639;156915675;5493;0;cp;2;BusyBox;cat_repeat11.csv
0;64453;92346;15625;24877;291442;0;0;ls;2;BusyBox;cat_repeat11.csv
0;62316;86730;14954;24564;296386;0;0;touch;2;BusyBox;cat_repeat11.csv
0;5758042;7802104;1527034;2156416;26829277;0;0;sort;2;BusyBox;cat_repeat11.csv
0;61584;89233;14832;24631;279052;0;0;touch;2;ToyBox;cat_repeat11.csv
0;105469;173096;39062;65816;733214;0;0;ls;1;BusyBox;cat_repeat11.csv
0;62988;85937;14282;24869;280944;0;0;touch;1;GNU;cat_repeat11.csv
0;88622;137634;29236;40583;502867;0;0;du;2;ToyBox;cat_repeat11.csv
0;22098881;31088239;7004072;7821979;103927651;0;0;cp;1;GNU;cat_repeat11.csv
0;1589107;2236017;388915;657515;7724712;0;0;cut;1;BusyBox;cat_repeat11.csv
0;62195;88684;15137;24660;272399;0;0;touch;2;GNU;cat_repeat11.csv
0;12794522;17634110;3359123;5182171;60927823;0;0;sort;2;ToyBox;cat_repeat11.csv
0;78003;107299;18127;31426;364440;0;0;cat;1;ToyBox;cat_repeat11.csv
0;69824;105957;19348;25663;330078;0;0;ls;2;GNU;cat_repeat11.csv
0;12910368;17839920;3441092;5223104;63047019;1404;0;sort;1;ToyBox;cat_repeat11.csv
0;73791;105469;18921;25361;341490;0;0;ls;1;GNU;cat_repeat11.csv
0;4097707;5947922;1168942;1545099;19859935;0;0;mv;1;GNU;cat_repeat11.csv
0;63904;87097;15014;24773;279846;0;0;cat;2;BusyBox;cat_repeat11.csv
0;95764;156799;33752;46650;565673;0;0;ls;1;ToyBox;cat_repeat11.csv
0;2444574;3227469;839842;662660;8930641;0;0;sort;1;GNU;cat_repeat11.csv
0;63599;86730;15564;24669;309997;0;0;wc;2;BusyBox;cat_repeat11.csv
0;62255;87463;14953;25021;286315;0;0;touch;1;BusyBox;cat_repeat11.csv
0;59448;85327;15258;23187;287109;0;0;du;1;ToyBox;cat_repeat11.csv
0;63354;89233;15015;24966;281188;0;0;wc;2;GNU;cat_repeat11.csv
0;29331041;44650703;10677951;12321184;158022483;0;0;cp;2;GNU;cat_repeat11.csv
0;76660;107605;19776;26299;336975;0;0;ls;2;ToyBox;cat_repeat11.csv
0;142578;252013;61890;101605;1096493;0;0;du;2;BusyBox;cat_repeat11.csv
0;5066454;7600322;1649349;2654961;30649824;0;0;mv;1;BusyBox;cat_repeat11.csv
0;497985;698363;114318;154287;2071894;0;0;cut;2;GNU;cat_repeat11.csv
0;2442682;3229301;857298;660305;8925636;0;0;sort;2;GNU;cat_repeat11.csv
0;61463;87707;14771;24759;263671;0;0;wc;2;ToyBox;cat_repeat11.csv
0;7347271;10521823;1861690;2676120;34227085;0;0;cut;1;ToyBox;cat_repeat14.csv
0;933225;1310605;218688;301883;3979360;0;0;cut;2;BusyBox;cat_repeat14.csv
0;65125;92162;16418;24941;273986;0;0;wc;1;GNU;cat_repeat14.csv
0;62073;88928;16907;23518;316589;0;0;du;1;BusyBox;cat_repeat14.csv
0;4314564;5946274;1094541;1719095;20748848;0;0;mv;2;BusyBox;cat_repeat14.csv
0;22156438;31393840;7095868;7837652;104604041;0;0;cp;1;BusyBox;cat_repeat14.csv
0;66772;93322;16175;25079;284301;0;0;wc;1;ToyBox;cat_repeat14.csv
