iteration;CORE;CPU;DRAM;DURATION;PSYS;UNCORE;EXIT_CODE;Program;TestNr;Utilities;Repetition
0;54748029;76252368;14225001;24173570;270466226;1526;0;md5sum;2;BusyBox;cat_repeat1.csv
0;66772;98572;17700;29044;331359;0;0;ln;1;ToyBox;cat_repeat1.csv
0;13303066;17668839;2867363;4925118;55522075;0;0;comm;1;GNU;cat_repeat1.csv
0;62195;88013;14771;24621;306090;0;0;echo;2;GNU;cat_repeat1.csv
0;62500;88012;14832;24804;309326;0;0;factor;2;GNU;cat_repeat1.csv
0;61157;87586;16601;24407;315001;0;0;echo;1;ToyBox;cat_repeat1.csv
0;3060784;4092763;655455;1148602;14165674;0;0;expand;2;BusyBox;cat_repeat1.csv
0;2051753;2864251;509886;904542;10753817;0;0;cut;2;ToyBox;cat_repeat1.csv
0;62194;85205;14221;24226;270690;0;0;touch;2;BusyBox;cat_repeat1.csv
0;61828;87524;15076;24510;291992;0;0;ln;2;BusyBox;cat_repeat1.csv
0;62195;87646;14954;24560;281799;0;0;touch;2;ToyBox;cat_repeat1.csv
0;61340;88196;14160;24128;297912;0;0;echo;1;BusyBox;cat_repeat1.csv
0;137329;196044;35339;57384;662535;0;0;du;2;BusyBox;cat_repeat1.csv
0;25609187;33378210;10432041;6005379;89059037;0;0;sort;2;GNU;cat_repeat1.csv
0;1533810;2034541;319945;549336;6866681;0;0;expand;2;GNU;cat_repeat1.csv
0;25856440;33630834;10468173;5995232;89196000;0;0;sort;1;GNU;cat_repeat1.csv
0;61279;84350;14343;24694;305114;0;0;factor;2;BusyBox;cat_repeat1.csv
0;114197;156738;27465;45325;558409;0;0;ls;1;GNU;cat_repeat1.csv
0;62195;88379;14343;24414;278747;0;0;true;2;ToyBox;cat_repeat1.csv
0;82085056;114141004;20906441;36136695;389224590;1648;0;cksum;1;ToyBox;cat_repeat1.csv
0;107887664;141274114;21130134;37743736;426461677;0;0;wc;2;GNU;cat_repeat1.csv
0;25472346;33888952;5424242;9516455;106697176;0;0;comm;2;BusyBox;cat_repeat1.csv
0;121885308;169023005;29939926;53532960;575335746;1282;0;comm;1;ToyBox;cat_repeat1.csv
0;61279;88317;14709;24358;280944;0;0;chmod;1;BusyBox;cat_repeat1.csv
0;62134;84655;14160;24613;296141;0;0;head;2;ToyBox;cat_repeat1.csv
0;62622;88440;14771;24752;309814;0;0;id;1;GNU;cat_repeat1.csv
0;575560;791136;146118;230995;2735283;0;0;chmod;2;GNU;cat_repeat1.csv
0;3097099;4140981;662046;1162746;14196924;0;0;expand;1;BusyBox;cat_repeat1.csv
0;66101;94300;16601;27627;321716;0;1;false;1;ToyBox;cat_repeat1.csv
0;62866;88439;14770;24618;308165;0;0;dirname;1;GNU;cat_repeat1.csv
0;62683;87524;14892;24902;285277;0;0;basename;1;ToyBox;cat_repeat1.csv
0;61767;85022;14221;24594;304076;0;0;logname;2;BusyBox;cat_repeat1.csv
0;61218;84472;14222;24299;290099;0;0;link;2;BusyBox;cat_repeat1.csv
0;62378;85266;14283;24316;294799;0;0;echo;2;BusyBox;cat_repeat1.csv
0;11880463;16183186;2828911;4857491;53358933;0;0;comm;2;ToyBox;cat_repeat1.csv
0;63172;87768;14771;24740;282103;0;0;touch;2;GNU;cat_repeat1.csv
0;456359;623106;111206;174821;2067377;0;0;cat;1;GNU;cat_repeat1.csv
0;62805;88806;14771;24607;305480;0;1;false;2;ToyBox;cat_repeat1.csv
0;62011;88074;14832;24485;309692;0;0;echo;2;ToyBox;cat_repeat1.csv
0;302336568;419674279;74367851;133517349;1426549936;2929;0;cat;1;ToyBox;cat_repeat1.csv
0;74890;103699;16784;25022;282653;0;0;mv;2;GNU;cat_repeat1.csv
0;63659;85143;14221;24876;304992;0;0;id;2;GNU;cat_repeat1.csv
0;62928;87158;14954;24994;283996;0;0;mkdir;1;BusyBox;cat_repeat1.csv
0;90133986;128683813;25107602;43578300;462832738;0;0;cksum;1;BusyBox;cat_repeat1.csv
0;62012;83923;14343;24640;274230;0;0;true;1;ToyBox;cat_repeat1.csv
0;8496377;11340425;1796199;3196446;35715912;0;0;cat;2;BusyBox;cat_repeat1.csv
0;70800;97839;16663;28457;314941;0;0;cksum;2;ToyBox;cat_repeat1.csv
0;62256;88013;14832;24799;303222;0;0;logname;2;GNU;cat_repeat1.csv
0;62928;88013;14832;24765;292785;0;0;cksum;2;GNU;cat_repeat1.csv
0;66894;94604;17151;29035;336608;0;0;date;1;BusyBox;cat_repeat1.csv
0;61829;85022;14221;24285;268004;0;0;true;2;BusyBox;cat_repeat1.csv
0;40614642;54037520;8587197;15203615;170402091;0;0;wc;2;ToyBox;cat_repeat1.csv
0;99670;138854;24597;42802;507018;0;1;expand;1;ToyBox;cat_repeat1.csv
0;858701;1201779;209472;367839;4375111;0;0;ls;2;ToyBox;cat_repeat1.csv
0;63903;87585;14831;25292;284057;0;0;touch;1;ToyBox;cat_repeat1.csv
0;22187565;31032635;7088544;8044455;105041357;1404;0;cp;1;GNU;cat_repeat1.csv
0;62011;83923;14892;24511;285277;0;0;basename;1;GNU;cat_repeat1.csv
