Program;BusyBox;GNU;Change
basename;293712.65;294027.1;-0.11
date;312215.25;315367.9;-1.0
dirname;310088.4;321538.4;-3.56
du;490593.25;523237.7;-6.24
echo;305297.2;321446.9;-5.02
factor;316259.0;321971.9;-1.77
false;305318.35;320140.65;-4.63
head;307939.85;320018.7;-3.77
id;308193.3;327916.7;-6.01
link;306343.65;317284.3;-3.45
ln;305120.05;322475.35;-5.38
logname;310082.15;322386.9;-3.82
ls;898062.85;1048413.35;-14.34
mkdir;297652.6;306612.3;-2.92
mv;295278.2;306938.95;-3.8
touch;294509.05;295195.75;-0.23
wc;87557206.75;454693406.8;-80.74
