Program,Utility,All_Significant,Mean_U_stat,Effect
base64,BusyBox,True,96.0,Higher
base64,ToyBox,True,100.0,Higher
cat,BusyBox,True,100.0,Higher
cat,ToyBox,True,100.0,Higher
cksum,BusyBox,True,96.5,Higher
cksum,ToyBox,True,97.0,Higher
comm,BusyBox,True,100.0,Higher
comm,ToyBox,True,97.0,Higher
cut,BusyBox,True,100.0,Higher
cut,ToyBox,True,100.0,Higher
expand,BusyBox,True,100.0,Higher
expand,ToyBox,True,0.0,Lower
ls,BusyBox,True,50.0,Higher
ls,ToyBox,True,100.0,Higher
sort,BusyBox,True,100.0,Higher
sort,ToyBox,True,100.0,Higher
wc,BusyBox,True,0.0,Lower
wc,ToyBox,True,0.0,Lower
