iteration;CORE;CPU;DRAM;DURATION;PSYS;UNCORE;EXIT_CODE;Program;TestNr;Utilities
0;55000225;76324695;14210657;24152843;267350512;0;0;md5sum;02;BusyBox
0;66955;101257;25512;25132;304504;4395;0;ln;01;ToyBox
0;13312161;17666947;2868279;4926776;57043678;0;0;comm;01;GNU
0;61768;84045;14038;24189;303283;0;0;echo;02;GNU
0;65064;102234;15869;25239;318542;0;0;factor;02;GNU
0;66345;102295;25756;24781;308166;3967;0;echo;01;ToyBox
0;3098381;4125966;655699;1150818;13308071;0;0;expand;02;BusyBox
0;2125727;3324393;854673;901658;10571384;166564;0;cut;02;ToyBox
0;61768;87951;14832;24353;275512;0;0;touch;02;BusyBox
0;61951;84839;14221;24408;274169;0;0;ln;02;BusyBox
0;66467;100708;26184;24913;314086;4700;0;touch;02;ToyBox
0;61157;84228;14283;24239;275939;0;0;echo;01;BusyBox
0;135070;188476;33020;53738;611571;0;0;du;02;BusyBox
0;26020807;33816136;10469211;6092910;94953615;0;0;sort;02;GNU
0;1509212;2043391;325012;548307;7018720;1099;0;expand;02;GNU
0;25928156;33708715;10438877;6031882;97536799;1403;0;sort;01;GNU
0;61645;87707;14221;24577;288573;0;0;factor;02;BusyBox
0;113525;157592;27343;45022;558714;0;0;ls;01;GNU
0;65674;101502;26489;24704;302062;4822;0;true;02;ToyBox
0;85329433;123158010;26081659;36031095;402142953;1999689;0;cksum;01;ToyBox
0;107869780;141049993;21148627;37768924;438246925;1465;0;wc;02;GNU
0;25726863;34090306;5426194;9519621;109240809;0;0;comm;02;BusyBox
0;126397442;198077252;51287101;53689452;627750774;9447424;0;comm;01;ToyBox
0;61707;84839;14221;24189;277466;0;0;chmod;01;BusyBox
0;67016;98876;25940;25168;304931;4334;0;head;02;ToyBox
0;62805;87768;14770;24826;313476;0;0;id;01;GNU
0;574462;791930;145751;231230;2637200;0;0;chmod;02;GNU
0;3082817;4107167;654906;1148940;13293728;0;0;expand;01;BusyBox
0;65125;97961;25634;24874;305419;4089;1;false;01;ToyBox
0;62744;83374;14099;24417;302245;0;0;dirname;01;GNU
0;61889;84533;14160;24319;276427;0;0;basename;01;ToyBox
0;61707;87708;14770;24521;285705;0;0;logname;02;BusyBox
0;61279;84960;14222;24285;284240;0;0;link;02;BusyBox
0;61706;83923;14283;24179;272949;0;0;echo;02;BusyBox
0;12500395;19379101;5112902;4929581;65098161;986325;0;comm;02;ToyBox
0;61645;87342;14892;24531;289245;0;0;touch;02;GNU
0;451110;623229;112121;174788;2027949;0;0;cat;01;GNU
0;66528;100891;26367;24830;306640;4333;1;false;02;ToyBox
0;66345;100586;26123;24815;305114;4273;0;echo;02;ToyBox
0;299659145;416332735;74272149;133344585;1432453425;2746;0;cat;01;ToyBox
0;63233;88073;15014;24942;313415;0;0;mv;02;GNU
0;63049;88134;14953;24931;313903;0;0;id;02;GNU
0;61706;88196;14771;24229;289733;0;0;mkdir;01;BusyBox
0;90089980;128186135;25008603;43389235;470815567;1587;0;cksum;01;BusyBox
0;64392;96374;25391;24551;314452;4761;0;true;01;ToyBox
0;8543679;11349031;1788631;3182848;36491911;0;0;cat;02;BusyBox
0;75744;107910;27588;28610;351867;4151;0;cksum;02;ToyBox
0;62866;88134;14831;24885;307921;0;0;logname;02;GNU
0;63721;89478;14892;24981;287963;0;0;cksum;02;GNU
0;61706;84106;14160;24401;277282;0;0;date;01;BusyBox
0;61218;83923;14160;24475;286010;0;0;true;02;BusyBox
0;42066665;62928428;15214072;15294081;191905575;2879448;0;wc;02;ToyBox
0;100280;140075;34240;38410;488890;7202;1;expand;01;ToyBox
0;886838;1378231;358825;367839;4364369;66833;0;ls;02;ToyBox
0;65734;100769;26611;24928;313781;4456;0;touch;01;ToyBox
0;23261842;33061378;7850810;7806908;105225255;79712;0;cp;01;GNU
0;61401;87463;14282;24348;275757;0;0;basename;01;GNU
0;70312;99548;17151;28869;331847;0;0;cksum;02;BusyBox
0;62317;85144;14343;24377;297973;0;0;link;02;GNU
0;66101;104126;26977;25242;307128;4578;0;id;02;ToyBox
0;62378;87890;14160;24592;297912;0;0;link;01;GNU
0;754575;1038327;186706;304152;3491080;0;0;chmod;02;BusyBox
0;30809491;53617783;18286147;15242153;196564499;2799066;0;cp;01;ToyBox
0;138305;194946;34546;56755;720946;0;0;du;02;GNU
0;105652;145874;25024;42401;481077;0;0;base64;02;BusyBox
0;845518;1126218;172607;298468;3512320;0;0;cut;02;BusyBox
0;61645;84533;14221;24472;277465;0;0;touch;01;GNU
0;66223;99243;25513;24761;310119;4211;0;dirname;02;ToyBox
0;71411;107971;29419;26833;315795;4395;0;md5sum;01;ToyBox
0;61157;88013;14771;24278;286132;0;1;false;01;BusyBox
0;66040;102295;25207;24760;303099;4516;0;link;02;ToyBox
0;62073;88318;14770;24432;313232;0;0;head;01;GNU
0;62195;84289;14282;24484;302367;0;1;false;02;GNU
0;65856;101135;27161;24883;307800;4517;0;mkdir;01;ToyBox
0;19433544;25812007;4142507;7234785;83210419;0;0;wc;02;BusyBox
0;66162;100341;26123;24713;305786;4028;0;mv;02;ToyBox
0;232910;314635;53772;88713;1025937;0;0;ls;02;BusyBox
0;61462;83802;14161;24331;276610;0;1;false;02;BusyBox
0;62012;87342;14892;24618;287841;0;0;basename;02;GNU
0;67200;97534;25207;24887;306029;4395;0;head;01;ToyBox
0;65551;99914;26733;25023;307494;4272;0;mkdir;02;ToyBox
0;62256;88256;14893;24478;288268;0;0;chmod;01;GNU
0;66467;100036;25756;25440;317504;4090;0;factor;02;ToyBox
0;98999;151305;41077;38192;471374;7813;1;expand;02;ToyBox
0;65674;99853;26551;24686;292540;4333;0;dirname;01;ToyBox
0;62072;88440;14771;24352;287658;0;0;touch;01;BusyBox
0;107732085;140838446;21106269;37699536;438094276;0;0;wc;01;GNU
0;1618709;2157587;368225;549327;7217084;7142;0;expand;01;GNU
0;293334;406676;69641;117398;1448543;0;0;ls;02;GNU
0;306576425;424860362;75081839;134793877;1437882061;3479;0;cat;02;ToyBox
0;67699900;92178719;21440314;26071693;309152345;1343;0;sort;01;BusyBox
0;64880;100524;26794;24713;307372;4456;0;id;01;ToyBox
0;10939731;14516564;2379022;4049555;47046755;0;0;comm;02;GNU
0;62744;84411;14221;24718;307494;0;0;logname;01;GNU
0;137329;192139;34363;54772;629576;0;0;ls;01;BusyBox
0;61890;91797;24048;23438;295593;2808;0;du;01;ToyBox
0;65979;94971;15930;26227;310241;0;0;base64;01;GNU
0;64270;87402;14831;25332;285521;0;0;md5sum;01;BusyBox
0;62317;88135;14709;24568;315124;0;0;date;02;GNU
0;440734;595275;94116;150721;1870845;1587;0;cut;02;GNU
0;61829;88012;14832;24418;286071;0;0;id;01;BusyBox
0;61584;88256;14832;24558;287963;0;0;basename;02;ToyBox
0;60791;88562;14831;24295;285704;0;0;true;01;BusyBox
0;62195;85083;14832;24410;274719;0;0;true;02;GNU
0;61584;84228;14282;24532;286926;0;0;basename;02;BusyBox
0;61279;84106;14221;24298;273864;0;0;head;02;BusyBox
0;66467;96618;24719;25173;309448;4577;0;mv;01;ToyBox
0;62316;87829;14771;24174;275268;0;0;mv;01;BusyBox
0;61035;83496;14099;24256;284240;0;0;ln;01;BusyBox
0;65674;99792;25390;24908;302062;3906;0;factor;01;ToyBox
0;65856;99976;26550;25083;305175;4578;0;date;01;ToyBox
0;62317;87830;14770;24477;288939;0;0;date;02;BusyBox
0;60363;86914;14160;24261;287902;0;0;true;01;GNU
0;19427318;25797724;4141652;7232088;83177217;0;0;wc;01;BusyBox
0;2349847;3675711;937009;986008;11634736;180358;0;cut;01;ToyBox
0;64087;87341;14770;25534;323119;0;0;md5sum;01;GNU
0;61462;87707;14771;24620;274047;0;0;chmod;01;ToyBox
0;62012;88806;14831;24421;284911;0;0;head;01;BusyBox
0;61951;84473;14893;24495;287780;0;0;mkdir;02;BusyBox
0;66528;102478;26489;24936;306274;4760;0;link;01;ToyBox
0;65002;98816;26123;25004;304564;4272;0;logname;02;ToyBox
0;63537;101013;15564;25193;328490;0;0;mkdir;02;GNU
0;577208;794737;146057;232342;2591790;0;0;chmod;02;ToyBox
0;62011;85021;14282;24393;277710;0;0;dirname;01;BusyBox
0;61646;83740;14282;24242;276061;0;0;mv;02;BusyBox
0;155578;247863;65307;58767;710692;8240;0;du;02;ToyBox
0;113971082;174796977;44274728;44668573;539097558;8296243;0;md5sum;02;ToyBox
0;62744;84838;14160;24410;299559;0;0;ln;02;GNU
0;62621;84411;14160;24560;306945;0;0;factor;01;GNU
0;61889;87280;14832;24431;288574;0;0;factor;01;BusyBox
0;62866;88379;14831;24823;313842;0;0;mv;01;GNU
0;27467520;40729876;9421241;10024240;124917588;1777644;0;wc;01;ToyBox
0;195190;270690;44983;78368;887998;0;0;base64;01;ToyBox
0;62073;84106;14222;24721;273071;0;0;logname;01;BusyBox
0;62256;84534;14221;24396;277099;0;0;dirname;02;BusyBox
0;61767;87219;14648;24321;285644;0;0;basename;01;BusyBox
0;96821347;152676306;47928283;39074597;487863558;7064985;0;sort;02;ToyBox
0;492186;770140;202941;206807;2461054;39368;0;ls;01;ToyBox
0;514037;699766;119019;186593;2437615;0;0;cut;01;GNU
0;62134;88012;15014;24378;278136;0;0;id;02;BusyBox
0;75745;102111;17883;29785;345213;0;0;base64;01;BusyBox
0;61767;83435;14038;24384;302245;0;0;dirname;02;GNU
0;62134;83740;14282;24743;302916;0;0;mkdir;01;GNU
0;8406412;11162935;1758663;3129908;35856476;0;0;cat;01;BusyBox
0;458007;629393;112183;175118;2047724;0;0;cat;02;GNU
0;65491;99670;25818;25066;307433;4273;0;logname;01;ToyBox
0;61401;84106;14282;24263;274596;0;0;link;01;BusyBox
0;39466940;57362585;12009125;20206610;236999332;0;0;md5sum;02;GNU
0;62011;84717;14221;24473;297301;0;0;ln;01;GNU
0;61951;83618;14343;24678;301635;0;0;head;02;GNU
0;67932;101013;26550;24841;304809;4517;0;date;02;ToyBox
0;81055;110351;18738;31127;359557;0;0;base64;02;GNU
0;62012;86853;14587;24497;315612;0;0;echo;01;GNU
0;99953480;157095851;49407100;39526287;491085108;7350811;0;sort;01;ToyBox
0;22006414;30667402;6948164;7791081;101150925;1404;0;cp;01;BusyBox
0;61828;88012;14160;24366;302733;0;1;false;01;GNU
0;4798511;6553389;1755366;1797070;21936772;0;0;cksum;01;GNU
0;66239699;89859084;20553170;25381649;301119225;0;0;sort;02;BusyBox
0;57983;81176;13610;22941;265136;0;0;du;01;BusyBox
0;61158;97106;17212;23164;295165;549;0;du;01;GNU
0;61768;84778;14038;24507;283569;0;0;date;01;GNU
0;68908;99487;26062;25584;347106;7569;0;ln;02;ToyBox
0;28048390;37191555;5923447;10413549;119279114;0;0;comm;01;BusyBox
0;1364315;1799250;271911;476446;5615342;0;0;cut;01;BusyBox
0;195556;266540;45776;73634;854673;0;0;base64;02;ToyBox
