,Utility,Options ToyBox,Options BusyBox,Options GNU
0,base32,"['-d', '-i', '-w']","['-d', '-w']","['-d', '-i', '-w', '--help', '--version']"
1,base64,"['-d', '-i', '-w']","['-d', '-w']","['-d', '-i', '-w', '--help', '--version']"
2,basename,"['-a', '-s']","['-a', '-s']","['-a', '-s', '-z', '--help', '--version']"
3,cat,"['-e', '-t', '-u', '-v']","['-n', '-b', '-v', '-t', '-e', '-A']","['-A', '-b', '-e', '-E', '-n', '-s', '-t', '-T', '-u', '-v', '--help', '--version']"
4,chgrp,"['-f', '-h', '-R', '-H', '-L', '-P', '-v']","['-h', '-L', '-H', '-P', '-R', '-c', '-v', '-f']","['-c', '-f', '-v', '--dereference', '-h', '--no', '--preserve', '--reference', '-R', '-H', '-L', '-P', '--help', '--version']"
5,chmod,[],"['-R', '-c', '-v', '-f']","['-c', '-f', '-v', '--no', '--preserve', '--reference', '-R', '--help', '--version']"
6,chown,"['-f', '-h', '-R', '-H', '-L', '-P', '-v']","['-h', '-L', '-H', '-P', '-R', '-c', '-v', '-f']","['-c', '-f', '-v', '--dereference', '-h', '--from', '--no', '--preserve', '--reference', '-R', '-H', '-L', '-P', '--help', '--version']"
7,chroot,[],[],"['--groups', '--userspec', '--skip', '--help', '--version']"
8,cksum,"['-H', '-L', '-P', '-I', '-N']",[],"['-a', '-b', '-c', '-l', '--raw', '--tag', '--untagged', '-z', '--ignore', '--quiet', '--status', '--strict', '-w', '--debug', '--help', '--version']"
9,comm,"['-1', '-2', '-3']","['-1', '-2', '-3']","['-1', '-2', '-3', '--check', '--nocheck', '--output', '--total', '-z', '--help', '--version']"
10,cp,"['-a', '-D', '-d', '-F', '-f', '-H', '-i', '-L', '-l', '-n', '-u', '-P', '-p', '-R', '-r', '-s', '-t', '-T', '-v']","['-a', '-R', '-d', '-L', '-H', '-p', '-f', '-i', '-n', '-l', '-T', '-t', '-u']","['-a', '--attributes', '--backup', '-b', '--copy', '-d', '--debug', '-f', '-i', '-H', '-l', '-L', '-n', '-u', '-P', '-p', '--preserve', '--no', '--parents', '-R', '--reflink', '--remove', '--sparse', '--strip', '-s', '-S', '-t', '-T', '--update', '-u', '-v', '-x', '-Z', '--context', '--help', '--version']"
11,cut,"['-b', '-c', '-C', '-d', '-D', '-f', '-F', '-O', '-s']","['-b', '-c', '-d', '-O', '-D', '-f', '-F', '-s', '-n']","['-b', '-c', '-d', '-f', '-n', '--complement', '-s', '--output', '-z', '--help', '--version', '-M']"
12,date,"['-d', '-D', '-I', '-r', '-s', '-u']","['-u', '-d', '-D', '-r', '-R', '-I']","['-d', '--debug', '-f', '-I', '--resolution', '-R', '--rfc', '-r', '-s', '-u', '--help', '--version']"
13,df,"['-a', '-P', '-k', '-h', '-H', '-i', '-t']","['-P', '-k', '-m', '-h', '-T', '-t', '-a', '-i', '-B']","['-a', '-B', '-h', '-H', '-i', '-k', '-l', '--no', '--output', '-P', '--sync', '--total', '-t', '-T', '-x', '-v', '--help', '--version']"
14,dirname,[],[],"['-z', '--help', '--version']"
15,du,"['-b', '-k', '-K', '-m', '-h', '-a', '-H', '-L', '-s', '-x', '-c', '-d', '-l']","['-a', '-b', '-L', '-H', '-d', '-c', '-l', '-s', '-x', '-h', '-m', '-k']","['-0', '-a', '--apparent', '-B', '-b', '-c', '-D', '-d', '--summarize', '--files0', '-H', '-h', '--inodes', '-k', '-L', '-l', '-m', '-P', '-S', '--si', '-s', '-t', '--time', '--time', '--time', '-X', '--exclude', '-x', '--help', '--version']"
16,echo,"['-n', '-E', '-e']",['--help'],"['-n', '-e', '-E', '--help', '--version']"
17,env,[],"['-0', '-u']","['-i', '-0', '-u', '-C', '-S', '--block', '--default', '--ignore', '--list', '-v', '--help', '--version']"
18,expand,['-t'],"['-i', '-t']","['-i', '-t', '-t', '--help', '--version']"
19,factor,"['-h', '-x']",[],"['-h', '--help', '--version']"
20,false,[],[],[]
21,groups,[],[],"['--help', '--version']"
22,head,"['-n', '-c', '-q', '-v']","['-n', '-n', '-c', '-q', '-v']","['-c', '-n', '-q', '-v', '-z', '--help', '--version']"
23,id,"['-G', '-g', '-n', '-r', '-u']","['-u', '-g', '-G', '-n', '-r']","['-a', '-Z', '-g', '-G', '-n', '-r', '-u', '-z', '--help', '--version']"
24,kill,"['-l', '-s']",['-l'],"['-s', '-l', '-t', '--help', '--version']"
25,link,[],[],"['--help', '--version']"
26,ln,"['-s', '-f', '-n', '-r', '-t', '-T', '-v']","['-s', '-f', '-n', '-b', '-S', '-T', '-v']","['--backup', '-b', '-d', '-f', '-i', '-L', '-n', '-P', '-r', '-s', '-S', '-t', '-T', '-v', '--help', '--version']"
27,logname,[],[],"['--help', '--version']"
28,ls,"['-a', '-c', '-i', '-q', '-u', '-H', '-R', '-N', '-1', '-g', '-l', '-n', '-w', '-ll', '--color', '-f']","['-1', '-a', '-A', '-x', '-d', '-L', '-H', '-R', '-p', '-F', '-l', '-i', '-n', '-s', '-lc', '-lu', '--full', '-h', '--group', '-S', '-X', '-v', '-t', '-tc', '-tu', '-r', '-w', '--color']","['-a', '-A', '--author', '-b', '--block', '-B', '-c', '-C', '--color', '-d', '-D', '-f', '-F', '--file', '--format', '--full', '-g', '--group', '-G', '-h', '--si', '-H', '--dereference', '--hide', '--hyperlink', '--indicator', '-i', '-I', '-k', '-l', '-L', '-m', '-n', '-N', '-o', '-p', '-q', '--show', '-Q', '--quoting', '-r', '-R', '-s', '-S', '--sort', '--time', '--time', '-t', '-T', '-u', '-U', '-v', '-w', '-x', '-X', '-Z', '--zero', '-1', '--help', '--version']"
29,md5sum,"['-b', '-c', '-s']","['-c', '-s', '-w']","['-b', '-c', '--tag', '-t', '-z', '--ignore', '--quiet', '--status', '--strict', '-w', '--help', '--version']"
30,mkdir,"['-m', '-p', '-v']","['-m', '-p']","['-m', '-p', '-v', '-Z', '--context', '--help', '--version']"
31,mkfifo,[],['-m'],"['-m', '-Z', '--context', '--help', '--version']"
32,mknod,['-m'],['-m'],"['-m', '-Z', '--context', '--help', '--version']"
33,mktemp,"['-d', '-p', '-q', '-t', '-u']","['-d', '-q', '-t', '-p', '-u']","['-d', '-u', '-q', '--suffix', '-p', '-t', '--help', '--version']"
34,mv,"['-f', '-i', '-n', '-t', '-T', '-v']","['-f', '-i', '-n', '-T', '-t']","['--backup', '-b', '--debug', '-f', '-i', '-n', '--no', '--strip', '-S', '-t', '-T', '--update', '-u', '-v', '-Z', '--help', '--version']"
35,nice,[],['-n'],"['-20', '-n', '--help', '--version']"
36,nl,"['-E', '-b', '-l', '-n', '-s', '-v', '-w']","['-b', '-i', '-s', '-v', '-w']","['-b', '-d', '-f', '-h', '-i', '-l', '-n', '-p', '-s', '-v', '-w', '--help', '--version']"
37,nohup,[],[],"['--help', '--version']"
38,nproc,['--all'],"['--all', '--ignore']","['--all', '--ignore', '--help', '--version']"
39,od,"['-A', '-j', '-N', '-t', '-v', '-w']",[],"['-A', '--endian', '-j', '-N', '-S', '-t', '-v', '-w', '--traditional', '--help', '--version', '-a', '-b', '-c', '-d', '-f', '-i', '-l', '-o', '-s', '-x']"
40,paste,"['-d', '-s']","['-d', '-s']","['-d', '-s', '-z', '--help', '--version']"
41,printenv,['-0'],[],"['-0', '--help', '--version']"
42,printf,[],[],"['--help', '--version']"
43,pwd,"['-L', '-P']",[],"['-L', '-P', '--help', '--version']"
44,readlink,"['-e', '-f', '-m', '-n', '-q', '-z']","['-f', '-n', '-v']","['-f', '-e', '-m', '-n', '-q', '-s', '-v', '-z', '--help', '--version']"
45,realpath,"['-R', '-L', '-P', '-e', '-m', '-q', '-s', '-z', '--relative']",[],"['-e', '-m', '-L', '-P', '-q', '--relative', '--relative', '-s', '-z', '--help', '--version']"
46,rm,"['-f', '-i', '-rR', '-v']","['-i', '-f', '-R']","['-f', '-i', '-I', '--interactive', '--one', '--no', '--preserve', '-r', '-d', '-v', '--help', '--version']"
47,rmdir,"['-p', '--ignore']","['-p', '--ignore']","['--ignore', '-p', '-v', '--help', '--version']"
48,seq,"['-f', '-s', '-w']","['-w', '-s']","['-f', '-s', '-w', '--help', '--version']"
49,sha1sum,"['-b', '-c', '-s']","['-c', '-s', '-w']","['-b', '-c', '--tag', '-t', '-z', '--ignore', '--quiet', '--status', '--strict', '-w', '--help', '--version']"
50,sha256sum,"['-b', '-c', '-s']","['-c', '-s', '-w']","['-b', '-c', '--tag', '-t', '-z', '--ignore', '--quiet', '--status', '--strict', '-w', '--help', '--version']"
51,sha512sum,"['-b', '-c', '-s']","['-c', '-s', '-w']","['-b', '-c', '--tag', '-t', '-z', '--ignore', '--quiet', '--status', '--strict', '-w', '--help', '--version']"
52,shred,"['-f', '-n', '-o', '-s', '-u', '-x', '-z']","['-f', '-s', '-n', '-z', '-u']","['-f', '-n', '--random', '-s', '-u', '--remove', '-v', '-x', '-z', '--help', '--version']"
53,sleep,[],[],"['--help', '--version']"
54,sort,[],"['-o', '-c', '-b', '-f', '-i', '-d', '-n', '-g', '-h', '-M', '-V', '-t', '-k', '-r', '-s', '-u', '-z']","['-b', '-d', '-f', '-g', '-i', '-M', '-h', '-n', '-R', '--random', '-r', '--sort', '-V', '--batch', '-c', '-C', '--compress', '--debug', '--files0', '-k', '-m', '-o', '-s', '-S', '-t', '-T', '--parallel', '-u', '-z', '--help', '--version']"
55,split,"['-a', '-b', '-l', '-n']","['-b', '-l', '-a']","['-a', '--additional', '-b', '-C', '-d', '--numeric', '-x', '--hex', '-e', '--filter', '-l', '-n', '-t', '-u', '--verbose', '--help', '--version']"
56,stat,"['-c', '-f', '-L', '-t']","['-c', '-f', '-L', '-t']","['-L', '-f', '--cached', '-c', '--printf', '-t', '--help', '--version', '--terse', '--terse']"
57,sync,[],"['-d', '-f']","['-d', '-f', '--help', '--version']"
58,tac,[],[],"['-b', '-r', '-s', '--help', '--version']"
59,tail,"['-n', '-c', '-f', '-F', '-s']","['-c', '-n', '-n', '-q', '-v', '-f', '-F', '-s']","['-c', '-f', '-F', '-n', '--max', '--pid', '-q', '--retry', '-s', '-v', '-z', '--help', '--version']"
60,tee,"['-a', '-i']","['-a', '-i']","['-a', '-i', '-p', '--output', '--help', '--version']"
61,test,[],[],[]
62,timeout,[],[],"['--preserve', '--foreground', '-k', '-s', '-v', '--help', '--version']"
63,touch,"['-a', '-m', '-c', '-h', '-d', '-t', '-r']","['-c', '-h', '-a', '-m', '-d', '-t', '-r']","['-a', '-c', '-d', '-f', '-h', '-m', '-r', '-t', '--time', '--help', '--version']"
64,true,[],[],"['--help', '--version']"
65,truncate,"['-c', '-s']","['-c', '-s']","['-c', '-o', '-r', '-s', '--help', '--version']"
66,tty,['-s'],['-s'],"['-s', '--help', '--version']"
67,uname,"['-s', '-n', '-r', '-v', '-m', '-o', '-a']","['-a', '-m', '-n', '-r', '-s', '-p', '-v', '-i', '-o']","['-a', '-s', '-n', '-r', '-v', '-m', '-p', '-i', '-o', '--help', '--version']"
68,uniq,"['-c', '-d', '-u', '-i', '-z', '-w', '-f', '-s']","['-c', '-d', '-u', '-i', '-z', '-f', '-s', '-w']","['-c', '-d', '-D', '--all', '-f', '--group', '-i', '-s', '-u', '-z', '-w', '--help', '--version']"
69,unlink,[],[],"['--help', '--version']"
70,uptime,"['-p', '-s']",[],"['--help', '--version']"
