,Utility,Options BusyBox
58,acpid,"['-d', '-f', '-c', '-e', '-l', '-p', '-a', '-M']"
82,add_shell,[]
336,addgroup,"['-g', '-S']"
226,adduser,"['-h', '-g', '-s', '-G', '-S', '-D', '-H', '-u', '-k']"
194,adjtimex,"['-q', '-o', '-f', '-t', '-p']"
42,arp,"['-a', '-d', '-s', '-v', '-n', '-i', '-D', '-A', '-H']"
166,arping,"['-f', '-q', '-b', '-D', '-U', '-A', '-c', '-w', '-I', '-s']"
354,ascii,[]
284,ash,[]
338,awk,"['-v', '-F', '-f', '-e']"
205,base32,"['-d', '-w']"
23,base64,"['-d', '-w']"
361,basename,"['-a', '-s']"
160,bb_arch,[]
387,bb_sysctl,"['-e', '-n', '-q', '-a', '-p', '-w']"
370,bc,"['-q', '-l', '-s', '-w']"
390,beep,"['-f', '-l', '-d', '-r', '-n']"
65,blkdiscard,"['-o', '-l', '-s']"
6,blkid,[]
268,blockdev,"['--setro', '--setrw', '--getro', '--getss', '--getbsz', '--setbsz', '--getsz', '--getsize64', '--getra', '--setra', '--flushbufs', '--rereadpt']"
274,bootchartd,[]
220,brctl,[]
208,bunzip2,"['-c', '-f', '-k', '-t']"
269,bzcat,[]
293,bzip2,"['-1', '-d', '-c', '-f', '-k', '-t']"
250,cal,"['-j', '-m', '-y']"
1,cat,"['-n', '-b', '-v', '-t', '-e', '-A']"
127,chat,[]
380,chattr,"['-R', '-v', '-p']"
279,chgrp,"['-h', '-L', '-H', '-P', '-R', '-c', '-v', '-f']"
20,chmod,"['-R', '-c', '-v', '-f']"
218,chown,"['-h', '-L', '-H', '-P', '-R', '-c', '-v', '-f']"
229,chpasswd,"['-e', '-m', '-c', '-R']"
356,chpst,"['-u', '-U', '-e', '-n', '-m', '-d', '-o', '-p', '-f', '-c', '-v', '-P', '-0', '-1', '-2']"
345,chroot,[]
96,chrt,"['-m', '-p', '-r', '-f', '-o', '-b', '-i']"
49,chvt,[]
224,cksum,[]
167,clear,[]
81,cmp,"['-l', '-s', '-n']"
340,comm,"['-1', '-2', '-3']"
244,conspy,"['-v', '-c', '-s', '-n', '-d', '-f', '-F', '-Q', '-x', '-y']"
200,cp,"['-a', '-R', '-d', '-L', '-H', '-p', '-f', '-i', '-n', '-l', '-T', '-t', '-u']"
255,cpio,"['-t', '-i', '-o', '-p', '-H', '-d', '-m', '-v', '-u', '-F', '-R', '-L', '-0', '--ignore', '--renumber']"
66,crc32,[]
239,crond,"['-f', '-b', '-S', '-l', '-d', '-L', '-c']"
187,crontab,"['-c', '-u', '-l', '-e', '-r']"
276,cryptpw,"['-P', '-m', '-S']"
364,cttyhack,[]
248,cut,"['-b', '-c', '-d', '-O', '-D', '-f', '-F', '-s', '-n']"
317,date,"['-u', '-d', '-D', '-r', '-R', '-I']"
136,dc,[]
157,dd,[]
286,deallocvt,[]
267,delgroup,[]
64,deluser,[]
87,depmod,['-n']
53,devmem,[]
54,df,"['-P', '-k', '-m', '-h', '-T', '-t', '-a', '-i', '-B']"
99,dhcprelay,[]
376,diff,"['-a', '-b', '-B', '-d', '-i', '-L', '-N', '-q', '-r', '-S', '-T', '-s', '-t', '-U', '-w']"
395,dirname,[]
172,dmesg,"['-c', '-n', '-s', '-r']"
56,dnsd,"['-c', '-t', '-p', '-i', '-d', '-v', '-s']"
105,dnsdomainname,[]
2,dos2unix,"['-u', '-d']"
69,dpkg,"['-i', '-l', '--configure', '-P', '-r', '--unpack', '--force', '--force', '--force']"
233,dpkg_deb,"['-c', '-f', '-e', '-x', '-X']"
346,du,"['-a', '-b', '-L', '-H', '-d', '-c', '-l', '-s', '-x', '-h', '-m', '-k']"
73,dumpkmap,[]
9,dumpleases,"['-f', '-r', '-a', '-d']"
31,echo,['--help']
289,ed,[]
373,egrep,[]
241,eject,"['-s', '-t', '-T']"
339,env,"['-0', '-u']"
347,envdir,[]
222,envuidgid,[]
215,ether_wake,"['-b', '-i', '-p']"
132,expand,"['-i', '-t']"
204,expr,[]
301,factor,[]
149,fakeidentd,"['-f', '-i', '-w', '-b']"
109,fallocate,"['-o', '-l']"
124,false,[]
62,fatattr,[]
303,fbset,[]
140,fbsplash,"['-s', '-c', '-d', '-i', '-f']"
118,fdflush,[]
176,fdformat,['-n']
199,fdisk,"['-u', '-l', '-b', '-C', '-H', '-S']"
251,fgconsole,[]
357,fgrep,[]
400,find,"['-L', '-H', '-xdev', '-maxdepth', '-mindepth', '-depth', '-name', '-iname', '-path', '-ipath', '-regex', '-type', '-executable', '-perm', '-mtime', '-atime', '-ctime', '-mmin', '-amin', '-cmin', '-newer', '-inum', '-samefile', '-user', '-group', '-size', '-links', '-empty', '-prune', '-print', '-print0', '-exec', '-exec', '-delete', '-quit']"
182,findfs,[]
67,flock,"['-s', '-x', '-u', '-n']"
144,fold,"['-b', '-s', '-w']"
51,free,[]
232,freeramdisk,[]
385,fsck,"['-A', '-N', '-P', '-R', '-T', '-V', '-t']"
350,fsck_minix,"['-l', '-r', '-a', '-v', '-s', '-m', '-f']"
121,fsfreeze,[]
17,fstrim,"['-o', '-l', '-m', '-v']"
247,fsync,['-d']
101,ftpd,"['-w', '-A', '-a', '-v', '-S', '-t']"
131,ftpget,"['-c', '-v', '-u', '-p', '-P']"
219,ftpput,"['-v', '-u', '-p', '-P']"
272,fuser,"['-m', '-4', '-s', '-k', '-SIGNAL']"
