Utility,Nr_options,RT_options
kill,3,"['-l', '-s', '-SIGNAL', '-l', '-s']"
bzcat,0,[]
expand,1,"['-t', '-t']"
cut,15,"['-Ds', '-bcCfF', '-dO', '-X', '-D', '-b', '-c', '-8', '-C', '-d', '-f', '-F', '-D', '-fF', '-f', '-F', '-O', '-F', '-f', '-s']"
free,3,"['-bkmgt', '-bkmg', '-h']"
sed,11,"['-inrszE', '-e', '-f', '-e', '-f', '-i', '-iEXT', '-n', '-r', '-E', '-r', '-s', '-i', '-z', '-e', '-f', '-e', '-f', '-s', '-i', '-9']"
tar,26,"['-cxt', '-fvohmjkOS', '-XTCf', '--selinux', '--exclude', '--full', '-time', '-tv', '--mode', '--owner', '--mtime', '--group', '--sparse', '--selinux', '--restrict', '--no', '-recursion', '--numeric', '-owner', '--null', '-T', '-separated', '--strip', '-components', '--xform', '-I', '-d']"
readahead,0,[]
who,0,[]
deallocvt,0,[]
pkill,16,"['-fnovx', '-SIGNAL', '-l', '-G', '-g', '-P', '-s', '-t', '-U', '-u', '-l', '-V', '-f', '-G', '-g', '-n', '-o', '-P', '-s', '-t', '-U', '-u', '-v', '-x']"
ls,35,"['-ACFHLRSZacdfhiklmnpqrstuwx1', '--color', '-a', '-b', '-c', '-d', '-i', '-p', '-q', '-s', '-u', '-A', '-H', '-L', '-R', '-F', '-N', '-Z', '-1', '-C', '-g', '-l', '-h', '-l', '-m', '-n', '-l', '-o', '-l', '-w', '-x', '-ll', '--full', '-time', '--color', '-f', '-r', '-t', '-S']"
help,4,"['-ahu', '-a', '-u', '-h']"
cmp,4,"['-ls', '-n', '-l', '-n', '-s']"
ping,12,"['-4', '-6', '-c', '-f', '-c', '-i', '-i', '-I', '-m', '-q', '-s', '-t', '-W', '-c', '-w']"
grep,36,"['-EFrivwcloqsHbhn', '-ABC', '-m', '-e', '-MS', '-f', '-e', '-e', '-f', '-r', '-R', '-M', '--include', '-S', '--exclude', '--exclude', '-dir', '-I', '-A', '-B', '-C', '-E', '-F', '-a', '-i', '-m', '-v', '-w', '-E', '-x', '-z', '-L', '-Z', '-c', '-l', '-o', '-q', '-s', '-H', '-b', '-h', '-n']"
openvt,4,"['-c', '-sw', '-c', '-s', '-w', '-s']"
logname,0,[]
gunzip,4,"['-cfk', '-c', '-f', '-k']"
killall5,4,"['-l', '-SIGNAL', '-s', '-o', '-l', '-o', '-s']"
fsfreeze,2,"['-f', '-u', '-f', '-u']"
du,14,"['-d', '-askxHLlmc', '-b', '-k', '-K', '-m', '-h', '-a', '-H', '-L', '-s', '-x', '-c', '-d', '-l']"
timeout,7,"['-i', '-k', '-s', '-i', '-k', '-s', '-v', '--foreground', '--preserve', '-status']"
microcom,2,"['-s', '-X', '-s', '-X']"
blkdiscard,12,"['-olszf', '-o', '--offset', '-l', '--length', '-s', '--secure', '-z', '--zeroout', '-fill', '-f', '--force']"
xargs,11,"['-0prt', '-snE', '-0', '-E', '-n', '-o', '-p', '-P', '-r', '-s', '-t']"
readelf,15,"['-adehlnSs', '-p', '-x', '-a', '-dhlnSs', '-d', '-e', '-hlS', '-h', '-l', '-n', '-p', '-S', '-s', '-x', '--dyn', '-syms']"
lsattr,7,"['-Radlpv', '-R', '-a', '-d', '-l', '-p', '-v']"
truncate,2,"['-c', '-s', '-c', '-s']"
tail,5,"['-n', '-f', '-s', '-n', '-c', '-f', '-F', '-s', '-F']"
lsmod,0,[]
gpiodetect,0,[]
mkfifo,0,[]
crc32,0,[]
host,3,"['-v', '-t', '-a', '-t', '-v']"
pwgen,24,"['-cAn0yrsBhC1v', '-readable', '-c', '--capitalize', '-A', '--no', '-capitalize', '-n', '--numerals', '-0', '--no', '-numerals', '-y', '--symbols', '-r', '--remove', '-s', '--secure', '-B', '--ambiguous', '-h', '--help', '-C', '-1', '-v']"
stat,5,"['-tfL', '-c', '-c', '-f', '-L', '-t', '-c', '-f', '-c']"
nproc,1,"['--all', '--all']"
w,0,[]
top,18,"['-Hhbq', '-k', '-o', '-s', '-n', '-m', '-d', '-p', '-u', '-H', '-h', '-k', '-S', '-ETIME', '-PID', '-o', '-O', '-s', '-X', '-b', '-d', '-m', '-n', '-p', '-u', '-q']"
setsid,4,"['-cdw', '-d', '-c', '-w']"
gpioset,1,"['-l', '-l']"
chmod,2,"['-R', '-R', '-separated']"
nbd-client,5,"['-client', '-ns', '-b', '-b', '-n', '-s']"
cal,1,['-h']
chvt,4,"['-F1', '-F2', '-alt', '-F1', '-F6']"
su,8,"['-lp', '-u', '-g', '-s', '-c', '-u', '-g', '-root', '-s', '-c', '-s', '-c', '-l', '-u', '-g', '-p']"
mv,7,"['-finTv', '-t', '-f', '-i', '-n', '-t', '-T', '-v']"
i2cget,3,"['-fy', '-f', '-y']"
zcat,2,"['-dc', '-f']"
linux32,1,['-m']
split,4,"['-a', '-b', '-l', '-n', '-a', '-b', '-l', '-n']"
sha3sum,3,"['-S', '-a', '-a', '-b', '-S']"
acpi,6,"['-abctV', '-a', '-b', '-c', '-t', '-V']"
modinfo,4,"['-0', '-b', '-k', '-F', '-F', '-0', '-b', '-k']"
hexedit,4,"['-r', '-9', '-f', '-byte']"
mountpoint,5,"['-qd', '-qx', '-q', '-d', '-x']"
pwd,2,"['-L', '-P', '-L', '-P']"
unicode,2,"['-END', '-8']"
usleep,0,[]
hostname,7,"['-bdsf', '-F', '-b', '-d', '-f', '-qualified', '-F', '-s']"
lspci,7,"['-ekmn', '-i', '-e', '-i', '-k', '-m', '-n', '-nn']"
