,Utility,Options ToyBox
169,acpi,"['-a', '-b', '-c', '-t', '-V']"
53,arch,[]
191,ascii,[]
112,base32,"['-d', '-i', '-w']"
14,base64,"['-d', '-i', '-w']"
195,basename,"['-a', '-s']"
36,blkdiscard,"['-o', '-l', '-s', '-z', '-f']"
5,blkid,"['-U', '-L', '-o', '-s']"
150,blockdev,"['--setro', '--setrw', '--getro', '--getss', '--getbsz', '--setbsz', '--getsz', '--getsize', '--getsize64', '--getra', '--setra', '--flushbufs', '--rereadpt']"
114,bunzip2,"['-c', '-f', '-k', '-t', '-v']"
151,bzcat,[]
137,cal,['-h']
1,cat,"['-e', '-t', '-u', '-v']"
207,chattr,"['-R', '-p', '-v']"
156,chgrp,"['-f', '-h', '-R', '-H', '-L', '-P', '-v']"
13,chmod,[]
119,chown,"['-f', '-h', '-R', '-H', '-L', '-P', '-v']"
188,chroot,[]
55,chrt,"['-p', '-R', '-m', '-o', '-b']"
25,chvt,[]
123,cksum,"['-H', '-L', '-P', '-I', '-N']"
92,clear,[]
47,cmp,[]
185,comm,"['-1', '-2', '-3']"
167,count,[]
109,cp,"['-a', '-D', '-d', '-F', '-f', '-H', '-i', '-L', '-l', '-n', '-u', '-P', '-p', '-R', '-r', '-s', '-t', '-T', '-v']"
141,cpio,"['-F', '-p', '-i', '-o', '-t', '-d', '-u', '-v', '--no']"
37,crc32,[]
136,cut,"['-b', '-c', '-C', '-d', '-D', '-f', '-F', '-O', '-s']"
173,date,"['-d', '-D', '-I', '-r', '-s', '-u']"
160,deallocvt,[]
28,devmem,[]
29,df,"['-a', '-P', '-k', '-h', '-H', '-i', '-t']"
216,dirname,[]
95,dmesg,"['-C', '-c', '-n', '-r', '-S', '-s', '-T', '-t', '-w']"
63,dnsdomainname,[]
2,dos2unix,[]
189,du,"['-b', '-k', '-K', '-m', '-h', '-a', '-H', '-L', '-s', '-x', '-c', '-d', '-l']"
17,echo,"['-n', '-E', '-e']"
202,egrep,[]
133,eject,"['-s', '-t', '-T']"
184,env,[]
79,expand,['-t']
166,factor,"['-h', '-x']"
66,fallocate,[]
74,false,[]
192,fgrep,[]
138,file,"['-b', '-h', '-L', '-s']"
