Nr;Program;GNU;ToyBox;BusyBox
1;base32;195992;18664;18760
2;base64;195272;18664;18760
3;basename;166328;18632;14600
4;cat;189048;18664;18776
5;chgrp;310320;22792;18816
6;chmod;290464;22792;18768
7;chown;318368;22792;18816
8;chroot;207104;18632;18760
9;cksum;626360;18664;18728
10;comm;194800;18632;18728
11;cp;680256;31208;23008
12;cut;204480;22824;18792
13;date;452320;26952;18840
14;df;440016;26952;18760
15;dirname;164648;18632;14528
16;du;468824;22792;18752
17;echo;163824;18632;14592
18;env;207968;18664;18736
19;expand;182448;18664;18752
20;factor;353648;18632;14600
21;false;154552;14440;14504
22;groups;178416;14568;18784
23;head;216208;18632;14656
24;id;206792;18696;18784
25;kill;177848;18696;14656
26;link;163912;18600;14608
27;ln;323440;22824;18768
28;logname;163432;18696;14592
29;ls;636696;31176;31240
30;md5sum;217832;23432;18768
31;mkdir;420592;18632;18736
32;mkfifo;319640;18600;18712
33;mknod;329928;18632;18752
34;mktemp;183328;18696;18744
35;mv;687760;31240;27112
36;nice;176496;18632;14616
37;nl;197616;18696;18744
38;nohup;184752;18664;14632
39;nproc;184392;18632;14632
40;od;338712;22760;22920
41;paste;179320;18664;18752
42;printenv;161336;18600;14592
43;printf;275792;18632;18744
44;pwd;177296;18632;18728
45;readlink;222816;22760;18744
46;realpath;228360;22760;14624
47;rm;323384;26920;18792
48;rmdir;242328;18632;18720
49;seq;263872;18632;18720
50;sha1sum;232288;23432;18768
51;sha256sum;253976;23432;18768
52;sha512sum;287392;23432;18768
53;shred;291584;18696;18784
54;sleep;177472;18600;14624
55;sort;518424;22792;18824
56;split;269392;18664;18744
57;stat;411288;31048;27056
58;sync;167824;14440;18744
59;tac;195664;14504;18712
60;tail;336720;22792;18776
61;tee;197192;18664;18744
62;test;258592;18664;18800
63;timeout;192320;26984;18872
64;touch;405160;18696;18816
65;true;154544;14472;14504
66;truncate;184960;18664;18728
67;tty;160904;18632;18720
68;uname;164072;18632;18720
69;uniq;216016;18664;18760
70;unlink;163840;18600;14608
71;uptime;227336;18664;18728
72;wc;258592;18664;18736
73;who;268984;18664;18760
74;whoami;164064;18696;14632
75;yes;167432;14440;14592
