Program Name,Size [bytes]
acpid,23016
addgroup,22984
add_shell,14688
adduser,31392
adjtimex,18720
arp,22944
arping,23000
ascii,14512
ash,105592
awk,39536
base32,18760
base64,18760
basename,14600
bb_arch,14592
bb_sysctl,18864
bc,64152
beep,14624
blkdiscard,18720
blkid,22936
blockdev,14608
bootchartd,27320
brctl,18840
bunzip2,22888
bzcat,22888
bzip2,31080
cal,18760
cat,18776
chat,18792
chattr,14648
chgrp,18816
chmod,18768
chown,18816
chpasswd,35352
chpst,22992
chroot,18760
chrt,18760
chvt,14608
cksum,18728
clear,14504
cmp,18736
comm,18728
conspy,27152
cp,23008
cpio,31304
crc32,18728
crond,31392
crontab,27144
cryptpw,26992
cttyhack,14648
cut,18792
date,18840
dc,51864
dd,18800
deallocvt,14608
delgroup,18896
deluser,27144
depmod,43520
devmem,14632
df,18760
dhcprelay,18800
diff,22992
dirname,14528
dmesg,18712
dnsd,27152
dnsdomainname,18744
dos2unix,18816
dpkg,60040
dpkg_deb,43560
du,18752
dumpkmap,14600
dumpleases,18760
echo,14592
ed,39600
egrep,18832
eject,18728
env,18736
envdir,14672
envuidgid,18752
ether_wake,18760
expand,18752
expr,18760
factor,14600
fakeidentd,27128
fallocate,18720
false,14504
fatattr,14624
fbset,18776
fbsplash,39384
fdflush,14592
fdformat,18744
fdisk,56024
fgconsole,14608
fgrep,18832
find,35320
findfs,22936
flock,18792
fold,18744
free,14624
freeramdisk,14592
fsck,18840
fsck_minix,22936
fsfreeze,14616
fstrim,18728
fsync,18728
ftpd,47928
ftpget,18880
ftpput,18864
fuser,18872
getopt,18760
getty,27272
grep,18832
groups,18784
gunzip,22896
gzip,31088
halt,18768
hd,18832
hdparm,35232
head,14656
hexdump,18832
hexedit,39664
hostid,14528
hostname,18824
httpd,47912
hush,89224
hwclock,18848
i2cdetect,18832
i2cdump,18768
i2cget,18752
i2cset,18752
i2ctransfer,18752
id,18784
ifconfig,27072
ifdown,23024
ifenslave,22976
ifplugd,27160
ifup,31264
inetd,31512
init,27296
insmod,35144
install,27176
ionice,18720
iostat,18816
ip,51768
ipaddr,27120
ipcalc,18744
ipcrm,14648
ipcs,22872
iplink,27120
ipneigh,18856
iproute,27112
iprule,22952
iptunnel,22960
kbd_mode,18728
kill,14656
killall,18880
killall5,18880
klogd,18872
last,18792
less,31296
link,14608
linux32,14616
linux64,14616
linuxrc,27296
ln,18768
loadfont,18736
loadkmap,14608
logger,19368
login,39728
logname,14592
logread,18800
losetup,18776
lpd,18840
lpq,27128
lpr,27128
ls,31240
lsattr,18776
lsmod,14616
lsof,14720
lspci,18816
lsscsi,14648
lsusb,18800
lzcat,18776
lzma,18776
lzop,26976
makedevs,22976
makemime,18784
man,43520
md5sum,18768
mdev,35648
mesg,14608
microcom,18816
mim,97416
mkdir,18736
mkdosfs,18760
mke2fs,18848
mkfifo,18712
mkfs_ext2,18848
mkfs_minix,22928
mkfs_vfat,18760
mknod,18752
mkpasswd,27064
mkswap,18792
mktemp,18744
modinfo,39336
modprobe,43520
more,18864
mount,43640
mountpoint,18776
mpstat,22952
mt,14608
mv,27112
nameif,18816
nanddump,18744
nandwrite,18752
nbdclient,18856
nc,27240
netstat,27120
nice,14616
nl,18744
nmeter,22920
nohup,14632
nologin,93320
nproc,14632
nsenter,18872
nslookup,27176
ntpd,35576
od,22920
openvt,18848
partprobe,18720
passwd,35488
paste,18752
patch,22968
pgrep,18856
pidof,18848
ping,23016
ping6,27136
pipe_progress,14520
pivot_root,14584
pkill,18896
pmap,18816
popmaildir,27176
poweroff,18768
powertop,18928
printenv,14592
printf,18744
ps,23016
pscan,18816
pstree,22976
pwd,18728
pwdx,18720
raidautorun,14592
rdate,18840
rdev,14632
readahead,14608
readlink,18744
readprofile,18760
realpath,14624
reboot,18768
reformime,18888
remove_shell,14688
renice,18744
reset,14536
resize,14576
resume,14672
rev,18736
rm,18792
rmdir,18720
rmmod,18704
route,22952
rpm,47776
rpm2cpio,35192
rtcwake,18864
run_init,18888
runlevel,14544
run_parts,18816
runsv,18912
runsvdir,18872
rx,14640
script,27136
scriptreplay,14632
sed,27112
seedrng,18824
sendmail,31392
seq,18720
setarch,18712
setconsole,14616
setfattr,18728
setfont,39296
setkeycodes,14616
setlogcons,14600
setpriv,18792
setserial,18760
setsid,18728
setuidgid,18768
sha1sum,18768
sha256sum,18768
sha3sum,18768
sha512sum,18768
sh_is_ash,105592
showkey,18768
shred,18784
shuf,18800
slattach,18800
sleep,14624
smemcap,14648
softlimit,18720
sort,18824
split,18744
ssl_client,39328
start_stop_daemon,27216
stat,27056
strings,18752
stty,18840
su,35344
sulogin,35344
sum,18728
sv,18816
svc,18816
svlogd,31336
svok,14592
swapoff,27080
swapon,27080
switch_root,18816
sync,18744
syslogd,27912
tac,18712
tail,18776
tar,56040
taskset,18776
tc,18784
tcpsvd,27288
tee,18744
telnet,18920
telnetd,27344
test,18800
test1,18800
test2,18800
tftp,27160
tftpd,23032
time,18784
timeout,18872
top,35456
touch,18816
tr,18720
traceroute,27192
traceroute6,27192
tree,14640
true,14504
truncate,18728
ts,18744
tsort,14616
tty,18720
ttysize,14528
tunctl,18784
ubiattach,18720
ubidetach,18720
ubimkvol,18760
ubirename,14648
ubirmvol,18760
ubirsvol,18720
ubiupdatevol,18768
udhcpc,39568
udhcpc6,39552
udhcpd,39568
udpsvd,27288
uevent,14728
umount,18784
uname,18720
unexpand,18760
uniq,18760
unix2dos,18816
unlink,14608
unlzma,18776
unshare,18880
unstripped,30360
unxz,26976
unzip,39376
uptime,18728
users,14632
usleep,14584
uudecode,18752
uuencode,18744
vconfig,14616
vi,43560
vlock,27120
volname,14608
w,18760
wall,14672
watch,18816
watchdog,18816
wc,18736
which,18728
who,18760
whoami,14632
whois,18840
xargs,18832
xxd,22936
xz,26976
xzcat,26976
yes,14592
zcat,35232
zcip,23048
