Program Name,Size [bytes]
[,267656
b2sum,287440
base32,195992
base64,195272
basename,166328
basenc,238168
cat,189048
chcon,316712
chgrp,310320
chmod,290464
chown,318368
chroot,207104
cksum,626360
comm,194800
cp,680256
csplit,241264
cut,204480
date,452320
dcgen,1335
dd,367168
df,440016
dir,636704
dircolors,202576
dirname,164648
du,468824
echo,163824
env,207968
expand,182448
expr,233584
factor,353648
false,154552
fmt,199400
fold,183888
getlimits,190376
ginstall,736104
groups,178416
head,216208
hostid,163216
id,206792
join,238656
kill,177848
link,163912
ln,323440
logname,163432
ls,636696
make-prime-list,36288
md5sum,217832
mkdir,420592
mkfifo,319640
mknod,329928
mktemp,183328
mv,687760
nice,176496
nl,197616
nohup,184752
nproc,184392
numfmt,272320
od,338712
paste,179320
pathchk,169928
pinky,195960
pr,323840
printenv,161336
printf,275792
ptx,306984
pwd,177296
readlink,222816
realpath,228360
rm,323384
rmdir,242328
runcon,174392
seq,263872
sha1sum,232288
sha224sum,253976
sha256sum,253976
sha384sum,287392
sha512sum,287392
shred,291584
shuf,281984
sleep,177472
sort,518424
split,269392
stat,411288
stdbuf,265048
stty,325096
sum,224784
sync,167824
tac,195664
tail,336720
tee,197192
test,258592
timeout,192320
touch,405160
tr,222416
true,154544
truncate,184960
tsort,252744
tty,160904
uname,164072
unexpand,184184
uniq,216016
unlink,163840
uptime,227336
users,170792
vdir,636704
wc,258592
who,268984
whoami,164064
yes,167432
